name;addr;lat;lon
ALASKA BAPTIST NATIVE CHURCH;802 EAST 3RD AVENUE, Anchorage, Alaska 99501;61.21945;-149.86869
ALASKA DISTRICT COUNCIL OF THE ASSEMBLY OF GOD;SUITE 101, 1048 WEST INTERNATIONAL AIRPORT ROAD, Anchorage, Alaska 99501;61.17347;-149.9041
ALASKA NATIVE LUTHERAN CHURCH;1420 CORDOVA STREET, Anchorage, Alaska 99501;61.20825;-149.88059
ALL SAINTS' EPISCOPAL CHURCH;545 WEST 8TH AVENUE, Anchorage, Alaska 99501;61.21489;-149.89303
ANCHOR CHURCH OF GOD;204 WEST 10TH AVENUE, Anchorage, Alaska 99501;61.21255;-149.88574
ANCHORAGE CHURCH OF RELIGIOUS;637 A STREET, Anchorage, Alaska 99501;61.21587;-149.88296
ANCHORAGE LUTHERAN CHURCH;1420 NORTH STREET, Anchorage, Alaska 99501;61.208195;-149.90834
ANTIOCH CHURCH OF GOD;1211 KARLUK STREET, Anchorage, Alaska 99501;61.210315;-149.862455
CALVARY BAPTIST CHURCH;401 EAST MANOR, Anchorage, Alaska 99501;61.23116;-149.87777
CATHOLIC ARCHDIOCESE;225 CORDOVA STREET, Anchorage, Alaska 99501;61.2201;-149.87898
CATHOLIC SOCIAL SERVICE;225 CORDOVA STREET, Anchorage, Alaska 99501;61.2201;-149.87898
CENTRAL LUTHERAN CHURCH;1420 CORDOVA STREET, Anchorage, Alaska 99501;61.20825;-149.88059
CHURCH OF GOD;1009 EAST 14TH AVENUE, Anchorage, Alaska 99501;61.20892;-149.86432
FILIPINO BIBLE CHURCH;1220 EAST STREET, Anchorage, Alaska 99501;61.20997;-149.89201
FIRST ASSEMBLY OF GOD CHURCH;1540 C STREET, Anchorage, Alaska 99501;61.20714;-149.88757
FIRST BAPTIST CHURCH;1100 WEST 10TH AVENUE, Anchorage, Alaska 99501;61.21241;-149.90472
FIRST CHURCH OF CHRIST SCIENTIST;1347 L STREET, Anchorage, Alaska 99501;61.2089;-149.903325
FIRST CHURCH OF THE NAZARENE;1220 E STREET, Anchorage, Alaska 99501;61.20997;-149.89201
FIRST EVANGELICAL COVENANT CHURCH;1145 C STREET, Anchorage, Alaska 99501;61.211;-149.88721
FIRST NATIVE BAPTIST CHURCH;802 EAST 3RD AVENUE, Anchorage, Alaska 99501;61.21945;-149.86869
FIRST PRESBYTERIAN CHURCH;616 WEST 10TH AVENUE, Anchorage, Alaska 99501;61.21235;-149.89437
FIRST UNITED METHODIST CHURCH;725 WEST 9TH AVENUE, Anchorage, Alaska 99501;61.21372;-149.89668
HOLY FAMILY CATHEDRAL;800 WEST FIFTH AVENUE, Anchorage, Alaska 99501;61.21746;-149.89801
KOREAN FIRST BAPTIST CHURCH;1120 EAST 13TH AVENUE, Anchorage, Alaska 99501;61.20947;-149.86229
METROPOLITAN COMMUNITY CHURCH;615 HOLLYWOOD DRIVE, Anchorage, Alaska 99501;61.23042;-149.87192
NEW ANTIOCH CHURCH OF GOD IN CHRIST;1211 KARLUK STREET, Anchorage, Alaska 99501;61.210315;-149.862455
PRAISE TEMPLE WAY CHURCH;820 EAST LOOP ROAD, Anchorage, Alaska 99501;61.23082;-149.87407
SEVENTH DAY ADVENTIST CHURCH;204 WEST 10TH AVENUE, Anchorage, Alaska 99501;61.21255;-149.88574
SHILOH BAPTIST CHURCH;855 EAST 20TH AVENUE, Anchorage, Alaska 99501;61.20194;-149.86678
TRUE VINE BAPTIST CHURCH;744 EAST 13TH AVENUE, Anchorage, Alaska 99501;61.2096;-149.86965
ANCHORAGE CHINESE GOSPEL;4025 W. 88th Ave., ANCHORAGE, Alaska 99502;61.14117;-149.95443
ANCHORAGE JEWEL LAKE;4025 W. 88th Ave., ANCHORAGE, Alaska 99502;61.14117;-149.95443
CHANGEPOINT;Changepoint Drive, Anchorage, Alaska 99502;61.16145;-149.90196
CHURCH OF THE NAZARENE;4025 WEST 88TH AVENUE, Anchorage, Alaska 99502;61.14117;-149.95443
COOK INLET CHURCH OF CHRIST;9020 ARLENE STREET, Anchorage, Alaska 99502;61.138945;-149.92983
GLORIA DEI LUTHERAN CHURCH;8427 JEWEL LAKE ROAD, Anchorage, Alaska 99502;61.1442;-149.95127
JEWEL LAKE PARISH;3833 STRAWBERRY ROAD, Anchorage, Alaska 99502;61.15225;-149.95027
Jewel Lake Parish;3822 Strawberry Rd, Anchorage, Alaska 99502;61.151972;-149.950742
JEWEL LAKE PARISH UNITED METHODIST CHURCH;3833 Strawberry Rd, ANCHORAGE, Alaska 99502;61.15225;-149.95027
NORTHSTAR COMMUNITY CHURCH;P.O. BOX 221566, Anchorage, Alaska 99502;61.324088;-149.575461
RASPBERRY ROAD BAPTIST CHURCH;3340 RASPBERRY ROAD, Anchorage, Alaska 99502;61.15901;-149.94126
SAINT BENEDICT'S CATHOLIC CHURCH;8110 JEWEL LAKE ROAD, Anchorage, Alaska 99502;61.14722;-149.95318
SAND LAKE BAPTIST CHURCH;7434 JEWEL LAKE ROAD, Anchorage, Alaska 99502;61.15415;-149.95261
ANCHORAGE FRIENDS CHURCH;605 WEST TUDOR ROAD, Anchorage, Alaska 99503;61.18095;-149.89545
ANCHORAGE KOREAN SEVENTH-DAY ADVENTIST CHURCH;540 W 34th Ave, ANCHORAGE, Alaska 99503;61.18942;-149.8925
ANCHORAGE SOUTH FOURSQUARE CHURCH - THE CONNECTION;301 E 36th Ave, ANCHORAGE, Alaska 99503;61.18884;-149.87912
DIVINE HARVEST-CHRISTIAN WORSHIP CENTER;320 EAST FIREWEED LANE, Anchorage, Alaska 99503;61.19795;-149.87763
GREATER ANCHORAGE PENTECOSTAL CHURCH;3307 SPENARD ROAD, Anchorage, Alaska 99503;61.190415;-149.907105
IN CHRIST FELLOWSHIP & OUTREACH;200 W. 34th Avenue, PMB 718, ANCHORAGE, Alaska 99503;61.18927;-149.8861
LAKE SPENARD BAPTIST CHURCH;3502 SPENARD ROAD, Anchorage, Alaska 99503;61.188765;-149.90985
SAINT NICHOLAS CATHOLIC CHURCH;2200 ARCTIC BOULEVARD, Anchorage, Alaska 99503;61.20067;-149.89872
AGAPE WORSHIP CENTER;360 BONIFACE PARKWAY, Anchorage, Alaska 99504;61.2219;-149.7786
ALASKA CONFERENCE;1660 Patterson Street, ANCHORAGE, Alaska 99504;61.2057;-149.74998
ALASKA DISTRICT;1660 Patterson Street, ANCHORAGE, Alaska 99504;61.2057;-149.74998
ANCHORAGE BAPTIST TEMPLE;6401 EAST NORTHERN LIGHTS BOULEVARD, Anchorage, Alaska 99504;61.19551;-149.76073
ANCHORAGE CHRISTIAN CHURCH;6505 DEBARR ROAD, Anchorage, Alaska 99504;61.20986;-149.75849
BAXTER ROAD BIBLE CHURCH;3600 BAXTER ROAD, Anchorage, Alaska 99504;61.18767;-149.76442
BIBLE MISSIONARY CHURCH;219 ZAPPA PLACE, Anchorage, Alaska 99504;61.22189;-149.72545
CALVARY CHURCH OF GOD IN CHRIST;360 BONIFACE PARKWAY, Anchorage, Alaska 99504;61.2219;-149.7786
CHURCH OF GOD IN CHRIST INC. JURISDICTIONAL HEADQUARTERS;6310 DEBARR ROAD, Anchorage, Alaska 99504;61.20946;-149.76315
CHURCH OF THE NAZARENE HILLCREST;2000 MULDOON ROAD, Anchorage, Alaska 99504;61.202985;-149.734105
COLLEGE GATE BAPTIST CHURCH;3102 BONIFACE PARKWAY, Anchorage, Alaska 99504;61.19238;-149.77818
EAST ANCHORAGE UNITED METHODIST CHURCH;1660 Patterson St, ANCHORAGE, Alaska 99504;61.2057;-149.74998
EAST ANCHORAGE UNITED METHODIST CHURCH;1660 PATTERSON STREET, Anchorage, Alaska 99504-2773;61.2057;-149.74998
GREATER FRIENDLY TEMPLE CHURCH;6310 DEBARR ROAD, Anchorage, Alaska 99504;61.20946;-149.76315
GREATER FRIENDLY TEMPLE CHURCH OF GOD IN CHRIST;6310 DEBARR ROAD, Anchorage, Alaska 99504;61.20946;-149.76315
HISPANIC CHURCH OF GOD;360 BONIFACE PARKWAY, Anchorage, Alaska 99504;61.2219;-149.7786
HOUSE OF PRAYER CHURCH OF GOD IN CHRIST;3501 Robin Street, Anchorage, Alaska 99504;61.189037;-149.739061
IMMANUEL PRESBYTERIAN CHURCH;2311 BONIFACE PARKWAY, Anchorage, Alaska 99504;61.19908;-149.778522
MARANATHA BAPTIST CHURCH;7747 EAST 6TH AVENUE, Anchorage, Alaska 99504;61.21704;-149.73566
MULDOON ROAD BAPTIST CHURCH;382 MULDOON ROAD, Anchorage, Alaska 99504;61.21936;-149.73507
NEW TESTAMENT CHRISTIAN CHURCH;454 MULDOON ROAD, Anchorage, Alaska 99504;61.218102;-149.733626
NORTH ANCHORAGE CHURCH OF GOD;1023 ERMINE STREET, Anchorage, Alaska 99504;61.212307;-149.7505
PARKSIDE CHURCH;7801 EAST 32ND AVENUE, Anchorage, Alaska 99504;61.19221;-149.73484
SCENIC PARK BIBLE CHURCH;7145 MADELYNNE DRIVE, Anchorage, Alaska 99504;61.18441;-149.74701
ZION LUTHERAN CHURCH LCMS;2100 BONIFACE PARKWAY, Anchorage, Alaska 99504;61.20114;-149.77857
Rose Of Sharon Church;11518 E Apache Trail # 125, Apache Junction, Arizona 8510;33.41595;-111.581855
Chalice Christian Church (Disciples of Christ);15303 S Gilbert Rd., Gilbert, Arizona 58296;33.30918;-111.788905
UNION INSTITUTIONAL BAPTIST CHURCH;2760 EAST MOBILE LANE, Phoenix, Arizona 85001;33.401745;-112.021925
DIOCESE OF ARIZONA;114 W. Roosevelt St, PHOENIX, Arizona 85003;33.45876;-112.07589
FIRST PRESBYTERIAN CHURCH;402 WEST MONROE STREET, Phoenix, Arizona 85003;33.45067;-112.07959
LIFE LINE CHURCH OF GOD IN CHRIST;2133 SOUTH 5TH AVENUE, Phoenix, Arizona 85003;33.427275;-112.080165
OUR LADY OF FATIMA;909 S. 1st. Ave., PHOENIX, Arizona 85003;33.43858;-112.07497
SAINT ANTHONY CATHOLIC CHURCH;909 SOUTH 1ST AVENUE, Phoenix, Arizona 85003;33.43858;-112.07497
TRINITY CATHEDRAL;100 W Roosevelt St, PHOENIX, Arizona 85003;33.45876;-112.07589
ARIZONA HAITIAN BETHEL COMMUNITY CENTER;1875 N Central Ave, Phoenix, Arizona 85004;33.46876;-112.07273
CENTRAL UNITED METHODIST CHURCH;1875 NORTH CENTRAL AVENUE, PHOENIX, Arizona 85004;33.46876;-112.07273
CENTRAL UNITED METHODIST CHURCH;1875 N Central Ave, PHOENIX, Arizona 85004;33.46876;-112.07273
FIRST CHURCH OF CHRISTIAN SCIENCE;3130 EAST MINNEZONA, Phoenix, Arizona 85004;33.503501;-112.013028
FIRST UNITED METHODIST CHURCH;215 EAST UNIVERSITY DRIVE, Phoenix, Arizona 85004;33.424893;-112.070453
GRACE LUTHERAN CHURCH;1124 NORTH 3RD STREET, Phoenix, Arizona 85004;33.46106;-112.06988
IGLESIA BAUTISA CENTRAL CHURCH;122 EAST CULVER, Phoenix, Arizona 85004;33.462965;-112.071815
JUBILEE RESTORATION CHURCH;401 EAST MOHAVE STREET, Phoenix, Arizona 85004;33.4312;-112.06813
Roosevelt Community Church;924 North 1st Street, Phoenix, Arizona 85004;33.458165;-112.072945
ST. MARY;231 N. 3rd. St., PHOENIX, Arizona 85004;33.45089;-112.06985
Jesus Name Peace Tabernacle;123 East Elm St., Mt Ida, Arkansas 71597;34.55248;-93.63188
ALLEN TEMPLE AME CHURCH STUDY;1125 SOUTH VIRGINIA, Pine Bluff, Arkansas 71601;34.21794;-91.99491
BARRAQUE BAPTIST CHURCH;1800 WEST PULLEN STREET, Pine Bluff, Arkansas 71601;34.230375;-92.020735
BROADMOOR BAPTIST CHURCH;WISCONSIN STREET &, Pine Bluff, Arkansas 71601;34.219465;-91.982205
CALVARY BAPTIST CHURCH;1870 WEST 2ND AVENUE, Pine Bluff, Arkansas 71601;34.228577;-92.021863
CENTRAL PRESBYTERIAN CHURCH;6300 Trinity Drive, Pine Bluff, Arkansas 71601;34.16428;-92.02949
CHURCH OF CHRIST COLLEGE HIGHTS;1313 NORTH MAGNOLIA STREET, Pine Bluff, Arkansas 71601;34.24357;-92.02565
EAST SIDE BAPTIST CHURCH;1605 SOUTH WISCONSIN STREET, Pine Bluff, Arkansas 71601;34.21402;-91.98132
EAST SIDE CHRISTIAN CHURCH;719 SOUTH OHIO STREET, Pine Bluff, Arkansas 71601;34.22205;-91.98932
FAITH PRESBYTERIAN CHURCH;913 N University, PINE BLUFF, Arkansas 71601;34.238875;-92.017945
FIRST BAPTIST CHURCH;517 SOUTH CHERRY STREET, Pine Bluff, Arkansas 71601;34.22438;-92.01355
FIRST BAPTIST CHURCH CHILD;517 SOUTH CHERRY STREET, Pine Bluff, Arkansas 71601;34.22438;-92.01355
FIRST UNITED METHODIST CHURCH;200 WEST 6TH AVENUE, Pine Bluff, Arkansas 71601;34.2235;-92.00504
LAKESIDE UMC;1500 OLIVE, PINE BLUFF, Arkansas 71601;34.21406;-92.00729
LAKESIDE UNITED METHODIST CHURCH;1500 Olive St, PINE BLUFF, Arkansas 71601;34.21419;-92.00748
MOUNT CALVARY BAPTIST CHURCH;600 EAST 38TH, Pine Bluff, Arkansas 71601;34.19061;-91.99728
MOUNT HARMONY MISSIONARY BAPTIST CHURCH;812 EAST HARDING, Pine Bluff, Arkansas 71601;34.212515;-91.99572
OLIVE STREET BAPTIST CHURCH;1923 SOUTH OLIVE STREET, Pine Bluff, Arkansas 71601;34.20948;-92.00664
PILGRIM MISSIONARY BAPTIST;2507 HILL STREET, Pine Bluff, Arkansas 71601;34.24282;-92.02841
PINE HILL BAPTIST CHURCH;REEKER AND SPRUCE, Pine Bluff, Arkansas 71601;0;0
PLEASANT GROVE BAPTIST CHURCH;1801 SOUTH INDIANA STREET, Pine Bluff, Arkansas 71601;34.210525;-91.993445
REGENERATED MB CHURCH;1401 east 6th, Pine Bluff, Arkansas 71601;34.2242;-91.98917
Rhema Redemption Int'l Mission Ministries;1201 W. 6th Street, Pine Bluff, Arkansas 71601;34.224085;-92.014845
SAINT JOSEPH CATHOLIC CHURCH;6TH AND WALNUT, Pine Bluff, Arkansas 71601;34.215706;-92.01404
SAINT PAUL BAPTIST CHURCH;1404 SOUTH GEORGIA STREET, Pine Bluff, Arkansas 71601;34.21471;-92.00054
SAINT PETER CATHOLIC CHURCH;207 EAST 16TH AVENUE, Pine Bluff, Arkansas 71601;34.21356;-92.00149
SECOND BAPTIST CHURCH;1401 EAST 6TH AVENUE, Pine Bluff, Arkansas 71601;34.2242;-91.98917
SOUTH SIDE BAPTIST CHURCH;2309 SOUTH POPLAR STREET, Pine Bluff, Arkansas 71601;34.20568;-92.01266
ST JAMES UNITED METHODIST CHURCH;900 University Dr, PINE BLUFF, Arkansas 71601;34.23856;-92.01908
There Is Hope Church of God in Christ;1003 East 2nd Stret, Pine Bluff, Arkansas 71601;34.22808;-91.99238
TRINITY EPISCOPAL CHURCH;703 WEST 3RD AVENUE, Pine Bluff, Arkansas 71601;34.22767;-92.01029
UNIVERSITY BAPTIST CHURCH;101 UNIVERSITY DRIVE, Pine Bluff, Arkansas 71601;34.22996;-92.01945
WHEELER CHAPEL BAPTIST CHURCH;3519 WHEELER CHAPEL ROAD, Pine Bluff, Arkansas 71601;34.10921;-91.88425
CENTENNIAL BAPTIST CHURCH;5103 WEST MALCOMB STREET, Pine Bluff, Arkansas 71602;34.23818;-92.05718
CENTRAL BAPTIST CHURCH;6107 DOLLARWAY ROAD, Pine Bluff, Arkansas 71602;34.25077;-92.06995
FAMILY CHURCH PINE BLUFF;2500 HIGHWAY 104, Pine Bluff, Arkansas 71602;34.310555;-92.14189
FIRST ASSEMBLY OF GOD CHURCH;801 WEST HOADLEY, Pine Bluff, Arkansas 71602;34.29159;-92.10234
FIRST BAPTIST CHURCH;8203 DOLLARWAY ROAD, Pine Bluff, Arkansas 71602;34.2743;-92.09093
HARDIN BAPTIST CHURCH;300 TODD LYNN DRIVE, Pine Bluff, Arkansas 71602;34.27976;-92.14604
JUBILEE CHRISTIAN CENTER;5103 MALCOMB AVENUE, Pine Bluff, Arkansas 71602;34.2379;-92.05816
MARANATHA BAPTIST CHURCH;5825 DOLLARWAY ROAD, Pine Bluff, Arkansas 71602;34.247825;-92.067965
MORNING STAR BAPTIST CHURCH;3900 WEST BARRAQUE STREET, Pine Bluff, Arkansas 71602;34.2293;-92.00929
NORTHSIDE BAPTIST CHURCH;7743 SHERIDAN ROAD, Pine Bluff, Arkansas 71602;34.2595;-92.09642
NORTHSIDE SEVENTH-DAY ADVENTIST CHURCH;5603 W Holsey St, WHITE HALL, Arkansas 71602;34.24734;-92.06429
OAK GROVE BAPTIST CHURCH;13112 DOLLARWAY ROAD, Pine Bluff, Arkansas 71602;34.33441;-92.12914
ST. LUKE UNITED METHODIST CHURCH;32 School St, WHITE HALL, Arkansas 71602;34.2387;-92.05486
WEST PINE BLUFF CHURCH OF GOD;5810 WEST MALCOMB STREET, Pine Bluff, Arkansas 71602;34.23734;-92.06825
WHITE HALL CHURCH OF CHRIST;304 WHITE HALL, Pine Bluff, Arkansas 71602;34.27119;-92.09348
WHITE HALL UNITED METHODIST CHURCH;300 Church Dr, WHITE HALL, Arkansas 71602;34.2746;-92.09387
APOSTOLIC FAITH CHURCH;1711 WEST 13TH AVENUE, Pine Bluff, Arkansas 71603;34.216625;-92.0204
CHURCH OF CHRIST;4700 WEST 28TH AVENUE, Pine Bluff, Arkansas 71603;34.201395;-92.05499
CHURCH OF CHRIST;4015 SOUTH HAZEL STREET, Pine Bluff, Arkansas 71603;34.18812;-92.023338
FIRST CHRISTIAN CHURCH;3911 SOUTH HAZEL STREET, Pine Bluff, Arkansas 71603;34.18935;-92.02444
FIRST IMMANUEL BAPTIST CHURCH;2121 WEST 26TH AVENUE, Pine Bluff, Arkansas 71603;34.20381;-92.02416
FIRST PRESBYTERIAN CHURCH;717 WEST 32ND AVENUE, Pine Bluff, Arkansas 71603;34.19787;-92.00959
FIRST TRINITY CHURCH OF GOD;800 SOUTH CATALPA STREET, Pine Bluff, Arkansas 71603;34.22197;-92.034
FORREST PARK BAPTIST CHURCH;3706 SOUTH CHERRY STREET, Pine Bluff, Arkansas 71603;34.19147;-92.01483
Good Faith Carr UMC;3703 Ryburn Rd, Pine Bluff, Arkansas 71603;34.19193;-92.06037
GOOD FAITH-CARR UNITED METHODIST CHURCH;3703 Ryburn Rd, PINE BLUFF, Arkansas 71603;34.19193;-92.06037
GRACE EPISCOPAL CHURCH;4101 SOUTH HAZEL STREET, Pine Bluff, Arkansas 71603;34.18761;-92.02318
GREENLEE BAPTIST CHURCH;4901 OLD WARREN ROAD, Pine Bluff, Arkansas 71603;34.17891;-92.045095
HIGHLAND BAPTIST CHURCH;3600 WEST 14TH AVENUE, Pine Bluff, Arkansas 71603;34.21539;-92.04009
IMMANUEL BAPTIST CHURCH;1801 WEST 17TH AVENUE, Pine Bluff, Arkansas 71603;34.213185;-92.02071
Missionary Sharon Brown;2018 W. 13th Avenue, Pine Bluff, Arkansas 71603;34.21618;-92.02354
OAK PARK CHURCH OF THE NAZARENE;2400 WEST 31ST AVENUE, Pine Bluff, Arkansas 71603;34.19787;-92.02676
PINE BLUFF SEVENTH-DAY ADVENTIST CHURCH;3718 Ridgway Rd, PINE BLUFF, Arkansas 71603;34.16741;-92.04249
REYNOLDS CHAPEL MISSIONARY BAPTIST CHURCH;706 South Cypress Street, Pine Bluff, Arkansas 71603;34.22248;-92.02179
SAINT PETER'S ROCK BAPTIST CHURCH;12TH AND CATALPA, Pine Bluff, Arkansas 71603;34.206189;-92.040617
SEVENTH-DAY ADVENTIST CHURCH;3719 RIDGEWAY ROAD, Pine Bluff, Arkansas 71603;34.165889;-92.041682
SHEPHERD HILL BAPTIST CHURCH;10710 SHEPHERD HILL, Pine Bluff, Arkansas 71603;34.08439;-92.00816
