name,addr,city,state,attend,denom,lat,lon
Calvary Community Church,Phoenix, AZ,11,400,Calvary Chapel,33.448437,-112.074142
Calvary Revival Church,Norfolk, VA,7,000,,36.896805,-76.260234
Calvary Orlando,N/A, FL,2,200,Assemblies of God,28.85703,-82.27593
Campus Church,Pensacola, FL,7,000,,30.421309,-87.216915
Canyon Ridge Christian Church,Las Vegas, NV,6,000,Christian churches and churches of Christ,36.167256,-115.148516
Cathedral Church of the Advent[26],Birmingham, AL,3,600,Episcopal Church (United States),33.520682,-86.802433
Cathedral of Faith[27],San Jose, CA,7,800,Non-denominational,37.336191,-121.890583
Cathedral of Hope,Dallas, TX,4,800,United Church of Christ,32.776272,-96.796856
Cedar Creek Church,Aiken, SC,7,700,Southern Baptist Convention,33.559859,-81.721952
CedarCreek.tv,Perrysburg, OH,7,800,Non-denominational,41.557118,-83.627932
Cedar Springs Presbyterian Church[28],Knoxville, TN,3,700 (2010)[29],Evangelical Presbyterian Church,35.960395,-83.921026
Celebrate Community Church,Sioux Falls, SD,4,100,Wesleyan Church,43.546059,-96.731393
Celebration Church[30],Georgetown, TX,5,000,Non-denominational,30.632694,-97.677231
Celebration Church,Jacksonville, FL,11,100,Non-denominational,30.332184,-81.655651
Celebration Church,New Orleans, LA,7,147,Interdenominational,29.949932,-90.070116
Centerpoint Church,Murrieta, CA,2,700,Free Methodist Church,33.560832,-117.210656
Central Baptist Church of Bearden[28],Knoxville, TN,4,200[29],Southern Baptist Convention,35.960395,-83.921026
Central Baptist Church,Jonesboro, AR,3,500,Southern Baptist Convention,35.842865,-90.703452
Central Christian Church of Arizona,Mesa, AZ,8,800,Non-denominational,33.415112,-111.831479
Central Christian Church,Henderson, NV,21,100,Christian churches and churches of Christ,36.030113,-114.982619
Central Church of God,Charlotte, NC,8,000,Church of God,35.227209,-80.843083
Central Wesleyan Church,Holland, MI,4,200,Wesleyan Church,42.787602,-86.109083
Champion Forest Baptist Church[31],Houston, TX,8,000,Southern Baptist Convention,29.758938,-95.367697
ChangePoint[32],Anchorage, AK,2,500,Non-denominational,61.216313,-149.894852
The Chapel,Fort Wayne, IN,5,000,,41.07999,-85.138602
The Chapel,Akron, OH,7,000,Non-denominational,41.083064,-81.518485
Cherry Hills Community Church[33],Highlands Ranch, CO,6,000,Evangelical Presbyterian Church,39.549724,-104.969566
Chestnut Ridge Church[34],Morgantown, WV,2,400,Evangelical,39.629681,-79.955944
Chet's Creek Church[35],Jacksonville, FL,2,500,Southern Baptist Convention,30.332184,-81.655651
Christ the King Community Church[36],Bellingham, WA,3,000,Non-denominational,48.754401,-122.478836
Christ Life Center[37],Miami, FL,4,000,Reformed Church in America,25.764993375,-80.1852740625
Christ Church of Oak Brook,Oak Brook, IL,5,000,Non-denominational,41.832809,-87.92895
Christ Church,Plano, TX,4,500,Anglican Church in North America,33.013676,-96.69251
Christ Fellowship,Palm Beach Gardens, FL,27,000,Evangelical,26.823395,-80.138655
Christ's Church,Jacksonville, FL,4,200,Christian churches and churches of Christ,30.332184,-81.655651
Christ's Church of the Valley,Peoria, AZ,35,000[38],Non-denominational,33.580612,-112.237294
Christ Covenant Presbyterian Church[39],Matthews, NC,2,400,Presbyterian Church in America,35.115953,-80.722439
Christ United Methodist Church,Memphis, TN,6,900,United Methodist Church,35.149022,-90.051629
Christian Cultural Center,New York, NY,32,000[40],Non-denominational,40.750183,-73.983759
Christian Faith Fellowship Church,Milwaukee, WI,6,000,Church of God in Christ,43.034993,-87.922497
Christian Fellowship Church[41],Evansville, IN,2,800,Non-denominational,37.974765,-87.555848
Christ Community Church,St. Charles, IL,4,000,Non-denominational,41.913981,-88.312818
Christ Community Church,Zion, IL,3,000,Nondenominational / Evangelical,42.446132,-87.832851
Christ United Methodist Church,Chattanooga, TN,4,100,United Methodist Church,35.045722,-85.309488
Christ United Methodist Church,Plano, TX,6,200,United Methodist Church,33.013676,-96.69251
The Church at Brook Hills,Birmingham, AL,4,100,Southern Baptist Convention,33.520682,-86.802433
The Church at Rock Creek,Little Rock, AR,4,500,Southern Baptist Convention,34.746481,-92.289595
Church by the Glades,Coral Springs, FL,7,700,Southern Baptist Convention,26.271192,-80.270604
Church of Eleven22,Jacksonville, FL,12,000,Non-denominational,30.332184,-81.655651
Church of the Apostles,Atlanta, GA,3,000,Evangelical Non-Denominational,33.748992,-84.390264
Church of the Highlands,Birmingham, AL,52,000,Non-denominational,33.520682,-86.802433
Church of the Redeemed of the Lord,Baltimore, MD,7,500,,39.290882,-76.610759
Church of the Redeemer,Gaithersburg, MD,6,800,Non-denominational,39.139919,-77.192922
Church of the Resurrection,Leawood, KS,3,312[42],United Methodist Church,38.966673,-94.616901
Church of the Servant,Oklahoma City, OK,7,500,United Methodist Church,35.472989,-97.517054
Church on the Hill,Cedar Hill, TX,2,000,Non-denominational,32.588807,-96.955368
Church on the Move,Tulsa, OK,11,000,,36.155681,-95.992911
Church on the Rock,St. Peters, MO,5,000[43][44],Non-denominational,38.791612,-90.595847
The Church on the Way,Van Nuys, CA,5,000,Foursquare Church,34.186619,-118.448668
Church Unlimited,Corpus Christi, TX,12,000,Non-Denominational,27.795148,-97.394205
The Church Without Walls,Houston, TX,6,400,,29.758938,-95.367697
Churchome,Kirkland, WA,7,200,,47.685957,-122.192025
Mannahouse Church,Portland, OR,7,000,Non-denominational,45.520247,-122.674195
City of Refuge,Gardena, CA,10,000,Pentecostal Assemblies of the World,33.896359,-118.305304
Clear Creek Community Church,League City, TX,4,800,Non-denominational,29.507454,-95.09493
Cokesbury United Methodist Church[28],Knoxville, TN,4,500,United Methodist Church,35.960395,-83.921026
Colonial Heights Baptist Church,Colonial Heights, VA,5,200,Southern Baptist Convention,37.255572,-77.411202
Community Bible Church[47],San Antonio, TX,14,000,Non-denominational,29.4246,-98.495141
Community Christian Church[50],Naperville, IL,5,400,Non-denominational,41.77287,-88.147928
Community of Faith,Houston, TX,6,000,,29.758938,-95.367697
Compassion Christian Church,Savannah, GA,8,500,Christian,32.080926,-81.091177
Connection Pointe Christian Church of Brownsburg,Brownsburg, IN,4,000,Non-denominational,39.843377,-86.397774
Compass Christian Church,Chandler, AZ,3,400,Non-denominational,33.306161,-111.84125
The Compass Church[52],Naperville, IL,3,000,Evangelical Free Church of America,41.77287,-88.147928
Coral Ridge Presbyterian Church[37],Fort Lauderdale, FL,2,000,Presbyterian Church in America,26.122308,-80.143379
Cornerstone Church of Ames[54],Ames, IA,2,000,Evangelical,42.026757,-93.617045
Cornerstone Church,San Antonio, TX,8,400,Non-denominational charismatic,29.4246,-98.495141
Cornerstone Church of San Diego[55],National City, CA,6,300,non-denominational charismatic,32.678109,-117.099197
Cornerstone Church[56],Toledo, OH,4,000,Non-denominational,41.652914,-83.537817
The Cove Church[58],Mooresville, NC,5,000,Non-denominational,35.58486,-80.810072
Covenant Church,Carrollton, TX,8,000,,32.953735,-96.890282
Covenant Fellowship Church,Glen Mills, PA,4,000,Sovereign Grace Churches,39.919698,-75.490432
Creekside Christian Church,Elk Grove, CA,2,400,Non-denominational,38.408799,-121.371618
Cross Church,Springdale, AR,16,000,Southern Baptist Convention,36.186744,-94.128814
CrossCity Christian Church[59],Fresno, CA,3,500,Non-denominational,36.739442,-119.784831
The Crossing Church,Quincy, IL,7,000 [60],Non-denominational,39.935602,-91.409873
The Crossing,Chesterfield, MO,6,000[61],Non-denominational,55.752496,37.58938
The Crossing,N/A, MO,3,000[62],Evangelical Presbyterian Church,59.9266825431611,15.8142380195549
Crossroads Church – Cincinnati[63],Cincinnati, OH,38,000,Interdenominational,39.101454,-84.51246
Crossroads Church – Minnesota[64],Woodbury, MN,3,000,Evangelical Covenant Church (ECC),44.919896,-92.933945
Crossroads Christian Church[65],Corona, CA,8,400,Non-denominational,-25.460371,-55.990196
Crossroads Christian Church[66],N/A, TX,6,500,Non-denominational,46.434484,6.909872
Crossroads Community Church,Vancouver, WA,6,000,Calvary Chapel,49.271743,-123.136595
Crossway Baptist Church,N/A, MO,2,000,,59.9266825431611,15.8142380195549
Cypress Church,Columbus, OH,3,900,Wesleyan Church,39.96226,-83.000707
Deliverance Evangelistic Church,Philadelphia, PA,11,000,Non-denominational,39.952724,-75.163526
Denton Bible Church[67],Denton, TX,3,000,Non-denominational,33.215039,-97.133052
Destiny Worship Center,Destin, FL,5,500[69],Non Denominational,30.393534,-86.495783
Downtown Church of Christ,Searcy, AR,2,000,Church of Christ,35.250641,-91.736249
Dream City Church[70],Phoenix, AZ,21,000,Assemblies of God,33.448437,-112.074142
Eagle Brook Church,Lino Lakes, MN,25,340[71],Converge (Baptist denomination),45.160244,-93.088832
Eastern Star Baptist Church,Indianapolis, IN,10,000,,39.768333,-86.15835
Eastside Christian Church,Anaheim, CA,7,000,Christian churches and churches of Christ,33.834752,-117.911732
Eastview Christian Church,Normal, IL,7,000,Non-denominational,40.509287,-88.98438
Ebenezer AME Church,Fort Washington, MD,10,000,African Methodist Episcopal Church,38.712531,-77.01246
ECHO.Church,N/A, CA,3,400,Non-denominational,42.73324,-106.3299
El Rey Jesús (King Jesus International Ministry),Miami, FL,12,500,Non-denominational/Pentecostal,25.764993375,-80.1852740625
Elevation Church,Charlotte, NC,26,000[72],Southern Baptist Convention,35.227209,-80.843083
Elevate Life Church,Riverside, CA,2,000,Non-denominational,51.4791289,-3.1921926
Emmanuel Presbyterian Church,San Jose, CA,2,200,KAPC,37.336191,-121.890583
Emmanuel Wesleyan Church,Salisbury, MD,2,500,Wesleyan Church,38.366027,-75.600996
Emmanuel Church[73],Greenwood, IN,4,500,Non-demominational,39.613658,-86.106653
Empowerment Temple,Baltimore, MD,10,000,African Methodist Episcopal Church,39.290882,-76.610759
Enon Tabernacle Baptist Church,Philadelphia, PA,15,000,,39.952724,-75.163526
EPIC Church International,Sayreville, NJ,10,100,Non-denominational,40.463536,-74.36185
Evangel Cathedral,Mitchellville, MD,4,000,Non-denominational,38.900621,-76.79522
Faith Bible Chapel,Arvada, CO,5,500,Non-denominational,39.800551,-105.081157
Faith Chapel Christian Center[74],Birmingham, AL,6,400,Non-denominational,33.520682,-86.802433
Faith Church[75],Dyer, IN,4,000,Reformed Church in America,41.494202,-87.521707
Faith Landmarks Ministries,Richmond, VA,10,000,,37.538509,-77.43428
Faith Promise Church,Knoxville, TN,9,000,Inter-denominational,35.960395,-83.921026
Faithful Central Missionary Baptist Church,Inglewood, CA,7,300,,33.9562,-118.353132
Falls Church Anglican,Falls Church, VA,4,300,Anglican Church in North America,38.882334,-77.171091
Family Christian Center,Munster, IN,15,500,Non-denominational,41.56448,-87.512541
Family Community Church[78],San Jose, CA,3,400,Assemblies of God,37.336191,-121.890583
Fellowship Bible Church[79],Little Rock, AR,5,000,Non-denominational,34.746481,-92.289595
Fellowship Bible Church,Brentwood, TN,6,000,Non-denominational,36.032569,-86.782524
Fellowship Bible Church,Rogers, AR,8,000,,36.33202,-94.118537
Fellowship Church,Grapevine, TX,24,162[10],Southern Baptist Convention,32.933738,-97.078875
Fellowship Missionary Baptist Church[80],Chicago, IL,8,000,Baptist,41.875562,-87.624421
First African Methodist Episcopal Church,Los Angeles, CA,10,000,African Methodist Episcopal Church,34.053691,-118.242766
First Assembly of God,Fort Myers, FL,7,500,Assemblies of God,26.640628,-81.872308
First Assembly of God,North Little Rock, AR,3,300,Assemblies of God,34.769536,-92.267094
First Assembly of God,Griffin, GA,7,800,Assemblies of God,33.246781,-84.26409
First Baptist Church,Bentonville, AR,2,200,Southern Baptist Convention,36.372854,-94.208817
First Baptist Church,Jonesboro, AR,2,000,Southern Baptist Convention,35.842865,-90.703452
First Baptist Church of Arnold,Arnold, MO,2,500,Southern Baptist Convention,38.422671,-90.375829
First Baptist Church Atlanta,Atlanta, GA,5,000,Southern Baptist Convention,33.748992,-84.390264
First Baptist Church Dallas[81],Dallas, TX,3,700 (2017 in-person)[82],Southern Baptist Convention,32.776272,-96.796856
Houston's First Baptist Church[83],Houston, TX,6,500,Southern Baptist Convention,29.758938,-95.367697
First Baptist Church of Glenarden,Upper Marlboro, MD,10,548,Converge (Baptist denomination),38.81398,-76.757589
First Baptist Church of Hammond,Hammond, IN,17,700,Baptist,41.583366,-87.500043
First Baptist Church of Jacksonville[84],Jacksonville, FL,5,000,Southern Baptist Convention,30.332184,-81.655651
First Baptist Church Jonesboro,N/A, GA,2,000,Southern Baptist Convention,57.7114853633561,11.9920494122716
First Baptist Church Orlando,Orlando, FL,16,000,Southern Baptist Convention,28.542111,-81.37903
First Baptist Rogers,Rogers, AR,3,000,Southern Baptist Convention,36.33202,-94.118537
First Baptist Church Woodstock[85],Woodstock, GA,9,000,Southern Baptist Convention,34.101411,-84.519219
First Baptist Concord[28],Knoxville, TN,8,000[29],Southern Baptist Convention,35.960395,-83.921026
First Church of Christ,Burlington, KY,2,500,Non-denominational,39.02756,-84.724113
First Evangelical Free Church,Fullerton, CA,6,000,Evangelical Free Church of America,44.756165,-93.63574
First Presbyterian Church[86],Chattanooga, TN,2,500,Presbyterian Church in America,35.045722,-85.309488
First Presbyterian Church,Jackson, MS,3,100,Presbyterian Church in America,32.299002,-90.184769
First Presbyterian Church of Houston[87],Houston, TX,3,600,ECO,29.758938,-95.367697
Flamingo Road Baptist,Cooper City, FL,8,500,Southern Baptist Convention,26.057783,-80.269511
Flatirons Community Church,Lafayette, CO,19,000,Non-denominational evangelical,39.993596,-105.089706
Florence County Baptist Church,Florence, SC,2,000,Southern Baptist Convention,34.198444,-79.767166
Forest Hill Church,Charlotte, NC,5,000,Non-denominational evangelical,35.227209,-80.843083
Foundations Church,Loveland, CO,3,800,Non-denominational evangelical,40.397761,-105.07498
Fountain of Praise,Houston, TX,11,800,,29.758938,-95.367697
Fountain Springs Wesleyan Church,Rapid City, SD,2,700,Wesleyan Church,44.086933,-103.227448
Frazer United Methodist Church[88],Montgomery, AL,2,100[42],United Methodist Church,32.366966,-86.300649
Free Chapel,Gainesville, GA,25,000[89],Church of God,34.297879,-83.824066
Free Life Chapel[91],Lakeland, FL,2,000,Non-denominational,28.039465,-81.949804
Friends Church,Yorba Linda, CA,4,000,Quaker/Evangelical Friends International,33.89011,-117.824971
Friendship West Baptist Church,Dallas, TX,8,000,,32.776272,-96.796856
From the Heart Church Ministries,Temple Hills, MD,5,000,,38.814002,-76.94553
Gateway Church,Southlake, TX,100,000[92],Non-denominational Charismatic,32.941236,-97.134178
Generations Christian Church,Trinity, FL,2,500,Non-denominational,28.180164,-82.654212
Germantown Baptist Church[93],Germantown, TN,12,000,Baptist,35.086758,-89.810086
Geyer Springs First Baptist Church,Little Rock, AR,2,500,Southern Baptist Convention,34.746481,-92.289595
Ginghamsburg Church,Tipp City, OH,5,000,United Methodist Church,39.958389,-84.172164
Grace Baptist Church[28],Knoxville, TN,5,800,Southern Baptist Convention,35.960395,-83.921026
Grace Bible Church,N/A, TX,4,000,Non-denominational,46.434484,6.909872
Grace Church,Noblesville, IN,6,000,Evangelical Free Church of America,40.045592,-86.008596
Grace Church[94],Dumfries, VA,2,000[95],Non-Denominational,38.56762,-77.328038
Grace Church,Maryland Heights, MO,3,800[2],Non-denominational,38.715051,-90.435999
Grace Family Church,Cheval, FL,6,200,Non-denominational,28.148625,-82.51454
Granger Community Church,Granger, IN,5,500,United Methodist Church,41.753382,-86.110838
Greater Allen A. M. E. Cathedral of New York[96],New York, NY,20,000,African Methodist Episcopal Church,40.750183,-73.983759
Greater Grace Temple,Detroit, MI,5,000,Pentecostal Assemblies of the World,42.331551,-83.04664
Greater Mount Calvary Holy Church[97],Washington, DC,7,000,Pentecostal,38.895037,-77.036543
Greater St. Stephen Full Gospel Baptist,New Orleans, LA,10,000,Full Gospel Baptist Church Fellowship,29.949932,-90.070116
Green Acres Baptist Church,Tyler, TX,14,000,Southern Baptist Convention,32.35126,-95.301062
Grove City Church of the Nazarene[98],Grove City, OH,2,700,Church of the Nazarene,39.881452,-83.092965
Hales Corners Lutheran Church[99],Hales Corners, WI,8,600,Lutheran Church–Missouri Synod,42.937515,-88.048698
Harvest Bible Chapel,Rolling Meadows, IL,6,000,Non-denominational,42.084194,-88.013128
Harvest Christian Fellowship,Riverside, CA,15,000,Southern Baptist Convention,51.4791289,-3.1921926
Harvester Christian Church,N/A, MO,2,400[100],Non-denominational,59.9266825431611,15.8142380195549
Harvest Time,Fort Smith, AR,2,200,Non-denominational,35.387222,-94.424898
Healing Place Church,Baton Rouge, LA,12,000,Non-denominational,30.44596,-91.18738
Heartland Community Church,Rockford, IL,7,300,,42.271395,-89.093966
Heritage Church,Rock Island, IL,2,600,Wesleyan Church,41.509477,-90.578748
Hickory Grove Baptist Church,Charlotte, NC,11,900,Southern Baptist Convention,35.227209,-80.843083
High Desert Church,Victorville, CA,6,300,,34.536107,-117.291157
Highland Park United Methodist Church,Highland Park, TX,2,900[42],United Methodist Church,29.393423,-98.461665
Highlands Fellowship,Abingdon, VA,4,000,Southern Baptist Convention[101],36.709463,-81.983601
Highlands Park,Lakeland, FL,2,300,Church of the Nazarene,28.039465,-81.949804
Highpoint Church,Naperville, IL,3,500,Non-Denominational,41.77287,-88.147928
Highview Baptist Church[102],Louisville, KY,4,000,Southern Baptist Convention,38.254238,-85.759407
Hillside Christian Church,Amarillo, TX,7,000,,35.207219,-101.833825
Hillsong NYC,New York, NY,5,000,Hillsong Church,40.750183,-73.983759
Hope Church,Las Vegas, NV,2,000,Southern Baptist Convention,36.167256,-115.148516
Hope City Church,Houston, TX,12,000,Non-denominational,29.758938,-95.367697
Hope Community Church,Raleigh, NC,15,000,Non-denominational,35.780398,-78.639099
Hope Presbyterian Church,Cordova, TN,7,043,Evangelical Presbyterian Church,35.155645,-89.776196
Hopewell Missionary Baptist,Norcross, GA,16,000,Baptist,33.941213,-84.213531
Horizon Christian Fellowship,San Diego, CA,6,000,Calvary Chapel,32.71742,-117.162773
Hosanna!,Lakeville, MN,6,000,Lutheran Congregation in Mission for Christ,44.650051,-93.243279
Hunter Street Baptist Church[103],Hoover, AL,8,200,Southern Baptist Convention,33.384893,-86.807048
Iglesia Cristiana Segadores de Vida,Hollywood, FL,7,100,Non-denominational,26.011201,-80.14949
Independent Presbyterian Church,Memphis, TN,2,300,Presbyterian Church in America,35.149022,-90.051629
Inland Church,Pomona, CA,2,000,Presbyterian Church in America,34.055381,-117.75175
Inspiring Body of Christ Church,Dallas, TX,7,500,Non-denominational,32.776272,-96.796856
Israel Baptist Church of Baltimore City,Baltimore, MD,3,000,Baptist,39.290882,-76.610759
James River Church,Springfield, MO,17,000,Assemblies of God,37.216678,-93.292037
Joy Church,Mount Juliet, TN,3,000,Non-denominational,36.200055,-86.518605
The Journey,St. Louis, MO,2,500[104][105],Southern Baptist (Acts 29 Network),38.626426,-90.199585
Redemption Church[106],San Jose, CA,14,000,,37.336191,-121.890583
Kensington Church,Troy, MI,15,000,Non-denominational,42.605589,-83.14993
Kentwood Community Church,Kentwood, MI,2,000,Wesleyan Church,42.869473,-85.644749
King's Cathedral and Chapels,Kahului, HI,30,000,Assemblies of God,20.88941,-156.472712
Kingsway Christian Church[109],Avon, IN,2,700,Non-denominational,39.762823,-86.399717
Korean Central Presbyterian Church[110],Centreville, VA,4,500,Presbyterian Church in America,38.840391,-77.428877
La Casa de Cristo Lutheran Church[111],Phoenix, AZ,2,000,Lutheran,33.448437,-112.074142
Lake Pointe Church,Rockwall, TX,11,300,Southern Baptist Convention,32.931234,-96.459709
Lakes Church[112],Lakeland, FL,9,000,Southern Baptist Convention,28.039465,-81.949804
Lakewood Church,Houston, TX,45,000[113],Non-denominational,29.758938,-95.367697
Lancaster Baptist Church,N/A, CA,5,000,Unaffiliated Baptist,42.73324,-106.3299
Legacy Church,Albuquerque, NM,10,100,Non-denominational,35.084103,-106.650985
Lenexa Baptist Church,N/A, KS,2,600[104],Southern Baptist,37.434435,-95.6745975
LibertyLive.church,Hampton, VA,10,000,Southern Baptist Convention,37.030097,-76.345206
Life Center Ministries,New Orleans, LA,6,500,Non-denominational,29.949932,-90.070116
Life Center Foursquare,Spokane, WA,5,000,Foursquare Church,47.657193,-117.423511
Lighthouse Church,Glen Burnie, MD,6,000,Non-denominational,39.16263,-76.625076
Lincoln Berean Church,Lincoln, NE,4,000,,40.808886,-96.707775
LCBC,Manheim, PA,17,000,Non-denominational,40.163736,-76.395243
Life.Church,Edmond, OK,72,500[114],Evangelical Covenant Church (ECC),35.657137,-97.464904
Liquid Church,Mountainside, NJ,5,000[115],Non-denominational,40.672324,-74.357372
Little Country Church,Redding, CA,3,800,Calvary Chapel,40.586356,-122.391675
The Living Word Bible Church,Mesa, AZ,7,500,,33.415112,-111.831479
Living Word Christian Center,Brooklyn Park, MN,6,700,,45.100481,-93.344359
Living Word Christian Center,Chicago, IL,18,000,Non-denominational,41.875562,-87.624421
Living Word Fellowship Church,Houston, TX,2,000,Non-denominational,29.758938,-95.367697
Loma Linda University Church[116],Loma Linda, CA,7,000,Seventh-day Adventist,34.053797,-117.261093
Long Hollow Church,Hendersonville, TN,5,000,Southern Baptist Convention,36.304918,-86.621443
Lutheran Church of Hope,West Des Moines, IA,10,600,Evangelical Lutheran Church in America,41.564534,-93.759528
Mariners Church,Irvine, CA,13,600,Non-denominational Evangelical,33.685697,-117.825982
Maranatha Chapel,San Diego, CA,7,000,Calvary Chapel,32.71742,-117.162773
Mars Hill Bible Church,Grandville, MI,10,000,Non-denominational,42.909598,-85.763096
McLean Bible Church,McLean, VA,16,500,Non-denominational[117],38.934289,-77.177633
Mecklenburg Community Church,Charlotte, NC,6,000,Non-denominational,35.227209,-80.843083
Menlo Church,San Francisco Bay Area, CA,5,000,ECO - A Covenant Order of Evangelical Presbyterians,37.8082,-122.476066
Metropolitan Baptist Church,Washington, DC,6,000,National Baptist,38.895037,-77.036543
Mission Community Church,Gilbert, AZ,3,000[119],Non-denominational,33.352763,-111.789037
Mission Hills Church,Littleton, CO,3,000,Non-denominational,39.613321,-105.01665
Moody Church[120],Chicago, IL,6,000,Evangelical,41.875562,-87.624421
MOSAIC,Los Angeles, CA,7,500,Non-denominational,34.053691,-118.242766
Mt. Airy Church of God in Christ,Philadelphia, PA,5,000,Church of God in Christ,39.952724,-75.163526
Mount Ararat Church,Stafford, VA,3,500,Southern Baptist Convention,38.422268,-77.408407
Mount Olivet Lutheran Church,Minneapolis, MN,5,900,Evangelical Lutheran Church in America,44.9773,-93.265469
Mount Zion Baptist Church,Nashville, TN,13,000,Baptist,36.162277,-86.774298
Mount Ennon Baptist Church,Clinton, MD,8,000,National Baptist,38.765115,-76.898306
Mount Paran Church of God,Atlanta, GA,7,900,Church of God,33.748992,-84.390264
Neighborhood Church,Visalia, CA,2,000,Non-denominational,36.330228,-119.292059
Neighborhood Church of Redding[121],Redding, CA,2,500,Christian and Missionary Alliance,40.586356,-122.391675
