name,denom,addr,state,lat,lon
South Anchorage Church Of Christ,Churches of Christ,7800 Stanley Dr Anchorage,AK,61.14991,-149.89506
St Anthony Parish,Roman Catholic,825 Klevin St Anchorage,AK,61.21405,-149.80445
St Benedict Parish,Roman Catholic,8110 Jewel Lake Rd Anchorage,AK,61.14722,-149.95318
St Elizabeth Ann Seton Church,Roman Catholic,2901 Huffman Rd Anchorage,AK,61.10877,-149.82793
St John United Methodist Church,United Methodist,1801 Omalley Rd Anchorage,AK,61.12392,-149.84825
St Mark Lutheran Church,Evangelical Lutheran in America,3230 Lake Otis Pkwy Anchorage,AK,61.19132,-149.83905
Holy family Christian Center,Assemblies of God,799 N Valencia Blvd 433 eagle st anchorage,AK,61.216313,-149.894852
Sacred Heart Catholic Church,Catholic,General Delivery Chevak,AK,61.527778,-165.586389
Eagle River Grace,Brethren,17850 Birchtree St Chugiak,AK,61.38112,-149.53379
Gate Way Fellowship,Assemblies of God,20905 Eastside Dr Chugiak,AK,61.408735,-149.440265
Our Redeemer Lutheran Church,Lutheran Church of Missouri Synod,18444 Old Glenn Hwy Chugiak,AK,61.387225,-149.48685
Peters Creek Baptist Church,Baptist,21308 Old Glenn Hwy Chugiak,AK,61.412905,-149.4414
Peters Creek Christian Center,Non-Denominational,20640 Chapel Dr Chugiak,AK,61.40584,-149.45294
River of Life ELCA Lutheran Church,Evangelical Lutheran in America,21301 Voyles Blvd Chugiak,AK,61.41233,-149.44632
The Crossing at Birchwood,Southern Baptist Convention,22208 Birchwood Loop Rd Chugiak,AK,61.40362,-149.47051
United Methodist Church of Chugiak,United Methodist,16430 Old Glenn Hwy Chugiak,AK,61.36878,-149.51152
Douglas Community United Methodist Church,United Methodist,1106 3rd St Douglas,AK,58.2774,-134.39578
Bethel Church,Baptist,1310 Farmers Loop Rd Fairbanks,AK,64.88849,-147.76589
Bible Baptist Church,Baptist,32 Adak Ave Fairbanks,AK,64.84928,-147.690905
Cathedral of The Sacred Heart,Roman Catholic,1300 Peger Rd Fairbanks,AK,64.83629,-147.78072
Catholic Diocese Of Fairbanks,Catholic,1316 Peger Rd Fairbanks,AK,64.835655,-147.78008
Christ Lutheran Church,Evangelical Lutheran in America,1798 Iniakuk Ave Fairbanks,AK,64.8724,-147.82233
Church Of God Of Prophecy,Church of God of Prophecy,1417 28th Ave Fairbanks,AK,64.821195,-147.73805
Community Covenant Church - Fairbanks,Evangelical Covenant,2136 Mccullam Ave Fairbanks,AK,64.836375,-147.769034
Corinthian Baptist Church,Baptist,1679 23rd Ave Fairbanks,AK,64.82595,-147.74371
Door Of Hope Church,Non-Denominational,270 Fairhill Rd Fairbanks,AK,64.86775,-147.66695
Fairbanks Covenant Church,Non-Denominational,2136 Mccullam Ave Fairbanks,AK,64.836375,-147.769034
Fairbanks Lutheran Church,Evangelical Lutheran in America,1012 Cowles St Fairbanks,AK,64.83945,-147.73878
Fairhill Community Church Of God,Church of God,101 City Lights Blvd Fairbanks,AK,64.86383,-147.67496
First Baptist Church,Southern Baptist Convention,805 6th Ave Fairbanks,AK,64.8414,-147.728375
First Church Of God In Christ,Church of God in Christ,308 Ladd Ave Fairbanks,AK,64.828775,-147.71228
First Presbyterian Church,Presbyterian,547 7th Ave Fairbanks,AK,64.840445,-147.71948
First United Methodist Church of Fairbanks,United Methodist,915 2nd Ave Fairbanks,AK,64.84443,-147.729569
First United Pentecostal Church,United Pentecostal Church International,907 23rd Ave Fairbanks,AK,64.8261,-147.72303
Friends Community Church,Non-Denominational,1485 30th Ave Fairbanks,AK,64.8183,-147.73922
Immaculate Conception Catholic,Catholic,615 Monroe St Fairbanks,AK,64.85129,-147.71647
Immaculate Conception Parish,Roman Catholic,2 Doyon Pl Fairbanks,AK,64.84524,-147.72168
Intercultural Assembly of God,Assemblies of God,720 25th Ave Fairbanks,AK,64.82481,-147.71789
Jubilee Worship Center,Assemblies of God,541 3rd St Fairbanks,AK,64.84525,-147.69658
Korean Baptist Mission,Southern Baptist Convention,1501 Lacey St Fairbanks,AK,64.83388,-147.71515
Korean Presbyterian Church,Presbyterian,345 A St Fairbanks,AK,64.845455,-147.68922
Lily Of The Valley Church Of God In Christ,Church of God in Christ,2404 S Barnette St Fairbanks,AK,64.82484,-147.731365
Mc Grath Road Baptist Church,Baptist,1100 Mcgrath Rd Fairbanks,AK,64.90612,-147.6541
New Life Pentecostal Church,United Pentecostal Church International,2204 Discovery Dr Fairbanks,AK,64.82666,-147.86461
Saint Matthew's Episcopal Church,Episcopal,1030 2nd Ave Fairbanks,AK,64.84569,-147.73117
St Herman Church,Orthodox,2180 Goldstream Rd Fairbanks,AK,64.93048,-147.86215
St John Baptist Church,Southern Baptist Convention,802 17th Ave Fairbanks,AK,64.83175,-147.72462
Trinity Baptist Church,Baptist,1327 27th Ave Fairbanks,AK,64.82224,-147.735475
True North Church Fairbanks First Assembly,Assemblies of God,2830 Airport Way Fairbanks,AK,64.8372,-147.78558
Two Rivers Community,Nazarene,4629 Chena Hot Springs Rd Fairbanks,AK,64.86804,-147.1637
University Community Presbyterian Church,Presbyterian,3510 College Rd Fairbanks,AK,64.85677,-147.80829
University Park Bible Church,Non-Denominational,3681 Sandvik St Fairbanks,AK,64.85081,-147.80185
Valley Of Blessing,Church of God (Pentecostal),3007 Airport Way Fairbanks,AK,64.83598,-147.78993
Zion Lutheran Church,Lutheran Church of Missouri Synod,2982 Davis Rd Fairbanks,AK,64.82874,-147.78842
Country Bible Chapel,Other Christian,317 Old Chena Hot Springs Rd. Fairbanks,AK,64.88706,-147.620065
"First Church of Christ, Scientist",Other Christian,811 First Ave Fairbanks,AK,64.84417,-147.72694
New Testament Christian Church,Other Christian,1327 27th Ave. Fairbanks,AK,64.82224,-147.735475
Northern Lights church of Christ,Church of Christ,645 11th Avenue Fairbanks,AK,64.83793,-147.72282
Assembly of God Central Mission Church,Assemblies of God,3558 Goldizen Ave Fairbanks,AK,64.84428,-147.81176
Fairbanks SDA Church,Seventh Day Adventist,1811 Farmers Loop Rd Fairbanks,AK,64.87394,-147.82252
Gospel Outreach Church,Non-Denominational,405 Lathrop St Fairbanks,AK,64.84378,-147.74543
Light of the World Lutheran Church,Wisconsin Evangelical Lutheran Synod,4155 Geist Rd Fairbanks,AK,64.84812,-147.832462
St Raphael Parish,Roman Catholic,1125 Old Steese Hwy N Fairbanks,AK,64.909605,-147.62423
Agape Mission Of Fairbanks,International Pentecostal Holiness,220 Baranof Ave Fairbanks,AK,64.848205,-147.682195
Antioch Assembly Of God,Assemblies of God,913 College Rd Fairbanks,AK,64.85902,-147.72888
Centro Cristiano Casa de Alabanza,Non-Denominational,835 23rd Ave Fairbanks,AK,64.825995,-147.72129
Cornerstone Community Church,American Baptist,1110 Hoselton Rd Fairbanks,AK,64.838605,-147.84495
Hispanic Mission,Southern Baptist Convention,1465 Lacey St Fairbanks,AK,64.834185,-147.715065
St James Temple,African Methodist Episcopal Zion,2400 Rickert St Fairbanks,AK,64.82481,-147.71949
American Baptist Church,Baptist,1399 Springwater Dr Fairbanks,AK,64.92239,-147.628385
Chinese Mission,Southern Baptist Convention,1197 University Ave Fairbanks,AK,64.85426,-147.81118
Fairbanks-Tabernacle Of Faith,Church of God (Pentecostal),1744 Farmers Loop Rd Fairbanks,AK,64.87838,-147.817655
First Samoan,Assemblies of God,326 18th Ave Fairbanks,AK,64.83081,-147.71393
Goldstream Valley Baptist Church,Southern Baptist Convention,1483 Ballaine Rd Fairbanks,AK,64.92593,-147.86501
Korean Baptist Church,Baptist,1501 Lacey St Fairbanks,AK,64.83388,-147.71515
Miracle Crusade Inc,Interdenominational,140 Minnie St Fairbanks,AK,64.849355,-147.7101
Mosquito Lake Baptist Mission,Baptist,HC 60 Box 2815 Haines,AK,59.235833,-135.445
Faith Lutheran Church,Lutheran Church of Missouri Synod,1000 Soundview Ave Homer,AK,59.64321,-151.57198
Faith Lutheran Church Of Homer,Lutheran,1000 Soundview Ave Homer,AK,59.64321,-151.57198
Glacierview Baptist Church,Baptist,960 E End Rd Homer,AK,59.65108,-151.51938
Homer Christian Church,Other Christian,865 E End Rd Homer,AK,59.64959,-151.52205
Homer United Methodist Church,United Methodist,770 E End Rd Homer,AK,59.6499,-151.524465
New Life Tabernacle,United Pentecostal Church International,55577 E End Rd Homer,AK,59.71155,-151.33281
Salvation Army Church,Salvation Army,1468 Sterling Hwy Homer,AK,59.64454,-151.58249
St John the Baptist,Roman Catholic,255 Ohlson Ln Homer,AK,59.64054,-151.54926
St John The Baptist Parish,Roman Catholic,255 Ohlson Ln Homer,AK,59.64054,-151.54926
Homer Assembly of God,Assemblies of God,736 E End Rd Homer,AK,59.64942,-151.52645
All Saints of America Mission,Antiochian Orthodox Christian Archdiocese,40875 Woodman Ln Homer,AK,59.67849,-151.48094
Auke Bay Bible Church,Bible,11970 Glacier Hwy Juneau,AK,58.386181,-134.644232
Calvary Fellowship,Non-Denominational,10650 Glacier Hwy Juneau,AK,58.377205,-134.62529
Catholic Community Service,Catholic,419 6th St Juneau,AK,58.30368,-134.40836
Chapel by the Lake Presbyterian Church,Presbyterian,11024 Auke Lake Way Juneau,AK,58.3843,-134.63787
Christ Lutheran Church,Wisconsin Evangelical Lutheran Synod,10300 Glacier Hwy Juneau,AK,58.373445,-134.615545
Church of the Holy Trinity,Episcopal,325 Gold St Juneau,AK,58.30255,-134.40698
Douglas Island Bible Church,Bible,2770 David St Juneau,AK,58.28957,-134.42145
Faith Lutheran Church,Lutheran Church of Missouri Synod,2500 Sunset Dr Juneau,AK,58.368975,-134.591695
First Baptist Church,Southern Baptist Convention,4625 Glacier Hwy Juneau,AK,58.343795,-134.495628
First Church Of God,Church of God,2215 Ka See An Dr Juneau,AK,58.365045,-134.584555
Glacier Valley Baptist Church,Southern Baptist Convention,3921 Mendenhall Loop Rd Juneau,AK,58.39057,-134.56951
Holy Trinity Episcopal Church,Episcopal,325 Gold St Juneau,AK,58.30255,-134.40698
Holy Trinity Rectory,Catholic,411 Gold St Juneau,AK,58.3029,-134.40757
Juneau Church of Christ,Churches of Christ,8755 Trinity Dr Juneau,AK,58.38306,-134.57255
Juneau Korean Baptist Church,Southern Baptist Convention,10490 Glacier Hwy Juneau,AK,58.37463,-134.62102
Northern Light United Presbyterian Church,Presbyterian,400 W 11th St Juneau,AK,58.30397,-134.419152
Resurrection Lutheran Church,Evangelical Lutheran in America,740 W 10th St Juneau,AK,58.302275,-134.42189
Salvation Army,Salvation Army,439 W Willoughby Ave Juneau,AK,58.3007,-134.41651
Shepherd of the Valley Lutheran Church,Evangelical Lutheran in America,4212 Mendenhall Loop Rd Juneau,AK,58.394715,-134.56212
St Brendans Episcopal Church,Episcopal,4207 Mendenhall Loop Rd Juneau,AK,58.39533,-134.56355
St Nicholas Church,Orthodox,326 5th St Juneau,AK,58.30319,-134.40897
St Paul The Apostle Parish,Roman Catholic,9055 Atlin Dr Juneau,AK,58.370595,-134.583855
United Pentecostal Church of Juneau,United Pentecostal Church International,1650 Old Glacier Hwy Juneau,AK,58.31394,-134.44438
Northland Bible Church,Other Christian,9109 Mendenhall Mall Blvd. Suite 5E JUNEAU,AK,58.3721,-134.58717
Juneau Aldersgate United Methodist Church,United Methodist,9161 Cinema Dr Juneau,AK,58.38161,-134.582085
Juneau Glacier Valley,Church of God (Pentecostal),8497 Thunder Mountain Rd Juneau,AK,58.394225,-134.562835
Juneau SDA Church,Seventh Day Adventist,4343 Mendenhall Loop Rd Juneau,AK,58.39717,-134.56175
Landmark Apostolic Church,Pentecostal,9226 Gee St Juneau,AK,58.38735,-134.59051
Mount Zion Baptist Church,Baptist,9979 Crazy Horse Dr Juneau,AK,58.36562,-134.60388
New Testament Church Of Juneau,Non-Denominational,5636 Glacier Hwy Juneau,AK,58.356045,-134.49669
Juneau LifeTeen,Roman Catholic,416 5th St Juneau,AK,58.30341,-134.40785
Shrine Of Saint Therese,Catholic,21435 Glacier Hwy Juneau,AK,58.46784,-134.778566
Valley Chapel,Non-Denominational,9741 Mendenhall Loop Rd Juneau,AK,58.404185,-134.59463
Bethany Baptist Church,Baptist,8493 Forest Ln Juneau,AK,58.38452,-134.56502
Juneau Foursquare Church,Foursquare Gospel,9359 Turn St Juneau,AK,58.384815,-134.589205
Juneau Friends Worship Group,Quaker,592 Seater St Juneau,AK,58.305545,-134.423185
Calvary Baptist Church,Baptist,208 Lawton Dr Kenai,AK,60.55961,-151.22839
First Baptist Church Of Port Nikiski,Baptist,51175 Island Lake Rd Kenai,AK,60.721217,-151.321676
First Baptist Church-Kenai,Southern Baptist Convention,12815 Kenai Spur Hwy Kenai,AK,60.560875,-151.29584
Grace Lutheran Church,Wisconsin Evangelical Lutheran Synod,47585 Ciechanski Rd Kenai,AK,60.50938,-151.15249
Kalifonsky Christian Center,Non-Denominational,41342 Kalifornsky Beach Rd Kenai,AK,60.51121,-151.18385
Kenai Christian Church,Other Christian,104 Mckinley St Kenai,AK,60.56131,-151.283565
Kenai Church Of God,Church of God,2803 Cook Inlet View Dr Kenai,AK,60.57669,-151.31671
Kenai Grace Brethren Church,Brethren,406 Mccollum Dr Kenai,AK,60.566025,-151.2032
Kenai United Methodist Church,United Methodist,607 Frontage Rd Kenai,AK,60.55415,-151.252275
Lighthouse Community Church,Southern Baptist Convention,50939 Kenai Spur Hwy Kenai,AK,60.71925,-151.34008
Mt Redoubt Baptist Church,Southern Baptist Convention,46380 Lovers Loop Kenai,AK,60.65083,-151.35548
New Life Assembly of God,Assemblies of God,209 Princess St Kenai,AK,60.56276,-151.22095
Our Lady of Angels Parish,Roman Catholic,225 S Spruce St Kenai,AK,60.55685,-151.26917
Salvation Army Corps Community Center,Salvation Army,201 N Forest Dr Kenai,AK,60.56274,-151.27782
Soar International Ministries,Non-Denominational,135 Granite Point Ct Kenai,AK,60.56223,-151.25187
Star Of The North Lutheran Church,Lutheran Church of Missouri Synod,216 N Forest Dr Kenai,AK,60.56314,-151.27643
United Pentecostal Churches On The Kenai,Pentecostal,43683 Kenai Spur Hwy Kenai,AK,60.613554,-151.334982
Saint Francis By The Sea Episcopal Church,Episcopal,110 S Spruce St Kenai,AK,60.55932,-151.271715
Calvary Bible Church,Bible,334 Carlanna Lake Rd Ketchikan,AK,55.35521,-131.686462
Clover Pass Community Church,Christian and Missionary Alliance,105 N Point Higgins Rd Ketchikan,AK,55.46711,-131.80262
Filipino Baptist Church,Southern Baptist Convention,1905 1st Ave Ketchikan,AK,55.34922,-131.66827
First Assembly of God,Assemblies of God,3225 Fairview Ave Ketchikan,AK,55.360845,-131.682035
First Lutheran Church,Evangelical Lutheran in America,1200 Tongass Ave Ketchikan,AK,55.34521,-131.65747
First United Methodist Church of Ketchikan,United Methodist,400 Main St Ketchikan,AK,55.343455,-131.647605
Holy Truth Lutheran Church,Lutheran,426 Buren Rd Ketchikan,AK,55.35802,-131.689465
Lighthouse Church Of God Inc,Church of God (Pentecostal),3405 Baranof Ave Ketchikan,AK,55.356825,-131.68767
New Life Foursquare Church,Foursquare Gospel,500 D 1 Loop Rd Ketchikan,AK,55.42584,-131.77524
North Tongass Baptist Church,Southern Baptist Convention,14627 N Tongass Hwy Ketchikan,AK,55.47129,-131.79201
South Tongass Alliance Church,Christian and Missionary Alliance,400 Old Homestead Rd Ketchikan,AK,55.31199,-131.56912
Holy Name Parish,Roman Catholic,433 Jackson St Ketchikan,AK,55.35258,-131.68115
Ketchikan Church Of Christ,Church of Christ,3149 Tongass Ave Ketchikan,AK,55.35295,-131.68711
Ketchikan Foursquare Church,Foursquare Gospel,500 D 1 Loop Rd Ketchikan,AK,55.42584,-131.77524
Ketchikan Presbyterian Church,Presbyterian,2711 2nd Ave Ketchikan,AK,55.350905,-131.67921
Ketchikan SDA Church,Seventh Day Adventist,2017 1st Ave Ketchikan,AK,55.349685,-131.669495
New Life Foursquare Church,Charismatic,500 D 1 Loop Rd Ketchikan,AK,55.42584,-131.77524
Saint John's Catholic Church,Catholic,503 Mission St Ketchikan,AK,55.341714,-131.644482
Saint John's Church,Episcopal,503 Mission St Ketchikan,AK,55.341714,-131.644482
Ketchikan II Foursquare Church,Foursquare Gospel,6025 Yankee Dr Ketchikan,AK,55.29976,-131.53452
Church Of The Nazarene,Church of the Nazarene,2652 Tongass Ave Ketchikan,AK,55.350645,-131.67847
United Pentecostal Church of Ketchikan,United Pentecostal Church International,1925 Fairy Chasm Rd Ketchikan,AK,55.34914,-131.64972
Berean Baptist Church,General Association of Regular Baptist,1216 Ismailov St Kodiak,AK,57.793965,-152.38613
Community Baptist Church,American Baptist,216 Mill Bay Rd Kodiak,AK,57.789745,-152.402285
Kodiak Bible Chapel,Christian and Missionary Alliance,416 Island Lake Rd Kodiak,AK,57.81394,-152.36281
Kodiak Church of Christ,Churches of Christ,3457 Spruce Cape Rd Kodiak,AK,57.81088,-152.3449
Kodiak Filipino Bible Church,Southern Baptist Convention,1316 Selief Ln Kodiak,AK,57.80117,-152.39158
Saint James The Fisherman,Episcopal,421 Thorsheim St Kodiak,AK,57.793765,-152.40572
St Mary's Parrish,Roman Catholic,2932 Mill Bay Rd Kodiak,AK,57.81088,-152.36247
St Paul Lutheran Church,Evangelical Lutheran in America,3077 Rezanof Dr E Kodiak,AK,57.8083,-152.35569
Abba Father's Christian Fellowship Church,Pentecostal,227 W Rezanof Kodiak,AK,57.78836,-152.41135
Frontier Baptist Church,Southern Baptist Convention,1016 Willow St Kodiak,AK,57.79618,-152.39577
Frontier Southern Baptist Church,Southern Baptist Convention,1910A E Rezanof Dr Kodiak,AK,57.799725,-152.374865
Holy Trinity Lutheran Church,Wisconsin Evangelical Lutheran Synod,515 E Marine Way Kodiak,AK,57.78938,-152.39738
Kodiak Assembly Of God,Assemblies of God,3416 Woodland Dr Kodiak,AK,57.8138,-152.35307
St Herman's Seminary,Orthodox,414 Mission Rd Kodiak,AK,57.78949,-152.39953
St Mary's of Kodiak Parish,Roman Catholic,2934 Mill Bay Rd Kodiak,AK,57.81164,-152.36048
Kodiak Community Church,Community,2320 Mill Bay Rd Kodiak,AK,57.806545,-152.36892
Kodiak SDA Church,Seventh Day Adventist,1337 Mylark Ln Kodiak,AK,57.800915,-152.38881
Kodiak UPC,United Pentecostal Church International,1220 Baranof St Kodiak,AK,57.79526,-152.38766
Saint Mary Thrift Shop,Catholic,2910 Mill Bay Rd Kodiak,AK,57.81019,-152.36357
Holy Resurrection Russian Orthodox Cathedral,Orthodox,385 Kashevaroff Ave Kodiak,AK,57.788212,-152.402554
Kodiak Door Of Hope Church,Non-Denominational,402 Center Ave Kodiak,AK,57.78747,-152.40433
Nenana Bible Church,Independent Bible,105E 2nd St. Nenana,AK,64.347125,-149.186141
