name;addr
Laramie Valley Chapel;4801 Quarter Horse Dr.,Laramie,,WY,82073
Heart of the Valley Baptist Church;280 7th street,Mountain View,,WY,82939
Agape Baptist Church;220 E 20th St,Cheyenne,,WY,82001-3704
Mountainview Fellowship Baptist Church;54 W 8th St,Sheridan,,WY,82801-3056
Yellowstone Baptist Church, SBC;9204 Yellowstone Rd,Cheyenne,,WY,82009-1154
Snowy Range Baptist Church;721 State Highway 230,Laramie,,WY,82070-8506
Bairoil Community Baptist Church;414 PAINTBRUSH,BAIROIL,,WY,82322
Bar Nunn Baptist Church;1401 Sunset Blvd,Bar Nunn,,WY,82601-9476
Happy Jack Baptist Church;1055 Happy Jack Rd,Cheyenne,,WY,82009-8001
Jackson Hole Baptist Church;620 E. Broadway,Jackson,,WY,83001
HillTop Baptist Church;405 Faith Dr,Green River,,WY,82935-5051
Mississippi Korean Baptist Church;
Friendship Baptist Church;
Friendship Baptist Church;
The Light Global Mission Church;
Palmetto Baptist;
Beech Grove Baptist Church;
First Baptist Church;
First Baptist Church, Ackerly;
Gribble Springs Baptist Church;
Indian Hills Baptist Church;
First Baptist Church, Rusk;
Wind River Church;238 Sand Gulch Rd,Shoshoni,,WY,82649-8647
CrossPoint Baptist Church;1101 Big Horn,Worland,,WY,82401
Delaware Baptist Church;
Cedar Creek Baptist Church;
Allison Avenue Baptist Church;
Witcher Baptist Church;
University Baptist Church of Beavercreek Ohio;
Mount Elim;
WindCity Medicine Bow;306 Utah Street,Medicine Bow,,WY,82329
Water of Life Church;PO Box 633,Cowley,,WY,82420-0633
WindCity Church, North;1005 N Elma St #305,Casper,,WY,82601
Cody Cowboy Church;PO Box 3184,Cody,,WY,82414
Crosswind;233 Custer Street,Lander,,WY,82520
WindCity Church;PO Box 51268,Casper,,WY,82605-1268
Living Water Community Church;PO Box 317,Diamondville,,WY,83116
Iglesia Cristiana Internacional, Big Piney;49 12th St Unit 3 #6,Big Piney,,WY,83113
Set Free Church;620 W. Adams,Riverton,,WY,82501
Iglesia Bautista Principe De Paz;4011 Robertson Rd,Casper,,WY,82604
Laramie Valley Chapel;4801 Quarter Horse Dr.,Laramie,,WY,82073
Heart of the Valley Baptist Church;280 7th street,Mountain View,,WY,82939
Agape Baptist Church;220 E 20th St,Cheyenne,,WY,82001-3704
Mountainview Fellowship Baptist Church;54 W 8th St,Sheridan,,WY,82801-3056
Yellowstone Baptist Church, SBC;9204 Yellowstone Rd,Cheyenne,,WY,82009-1154
Snowy Range Baptist Church;721 State Highway 230,Laramie,,WY,82070-8506
Bairoil Community Baptist Church;414 PAINTBRUSH,BAIROIL,,WY,82322
Bar Nunn Baptist Church;1401 Sunset Blvd,Bar Nunn,,WY,82601-9476
Happy Jack Baptist Church;1055 Happy Jack Rd,Cheyenne,,WY,82009-8001
Jackson Hole Baptist Church;620 E. Broadway,Jackson,,WY,83001
HillTop Baptist Church;405 Faith Dr,Green River,,WY,82935-5051
the Church at Martinsburg;50 Monroe Street,Martinsburg,,WV,25404
New Vision Baptist Church;P.O. Box 600,Berkeley Springs,,WV,25411
The Crossing Corporation;2031 Harrison Ave,St Albans,,WV,25177
Gordon Missionary Baptist Church;P O Box 443,Van,,WV,25206
Grace Baptist Church;PO Box 87,Branchland,,WV,25506
Living Hope Baptist Church;1 Veach St.,Petersburg,,WV,26847
Zoar Baptist Church;1705 Jonestown Road,St. Marys,,WV,26170
Neibert Baptist Church;P. O. Box 215,Stollings,,WV,25646-0015
Big Spring Missionary Baptist Church;P O Box 271,Mallory,,WV,25364-0271
Grace Church at Pleasant Valley;8135 Waynesburg Pike,Cameron,,WV,26033
Covel Missionary Baptist Church;P.O. Box 13,Covel,,WV,24719
Glade Community Church;P.O. Box 759,Daniels,,WV,25832
Pipestem Southern Baptist Church;14099S WV 20,Pipestem,,WV,25979
Harmony Baptist Church;4013 10th Avenue,Parkersburg,,WV,26101
Main Street Baptist Church;335 Main Street,Madison,,WV,25130
Mountain View Baptist Church;83 Back Creek Valley Road,Hedgesville,,WV,25427
Lochgelly Baptist Church;3602 Lochgelly Road,Oak Hill,,WV,25901
Lighthouse Baptist Church;153 School Street,Ivydale,,WV,25113
Locust Grove Baptist Church;2888 Route 75,Huntington,,WV,25704-9128
Nehemiah Baptist Church;136 Derek Ln,Cool Ridge,,WV,25825
Rock Spring Church;114 Poor Farm Road,Kearneysville,,WV,25430
Grace Baptist Church;70 Kaymoor Bottom Rd.,Fayetteville,,WV,25840
The Bridge Baptist Church;P.O. Box 502,Matoaka,,WV,24736-0502
Solid Rock Baptist Church;227 Rock Camp Rd,Hundred,,WV,26575-8763
New Hope Tabernacle;PO Box 4,Lindside,,WV,24951
Bradshaw Mountain Baptist Chapel;PO Box 49,Paynesville,,WV,24873-0049
New Creek Southern Baptist Church;182 Tanglewood Loop,New Creek,,WV,26743
South Wheeling Campus Abundant Life;
New River Baptist Church;5217 Maple Lane,Fayetteville,,WV,25840-0427
HarborLight Southern Baptist Church;919 Cook Parkway,Oceana,,WV,24870
West View Baptist Chapel;4841 Lobelia Road,Hillsboro,,WV,24946
Zoar Baptist Church;PO Box 208,Augusta,,WV,26704-0208
Evangel Fellowship;P.O. Box 239,Fayetteville,,,WV,25840-9569
Jeanette Baptist Church;PO Box 648,Edmond,,WV,25837-0048
Emmanuel Community Church;PO Box 1804,Lewisburg,,WV,24901-4804
Covenant Baptist Church;145 Wyndale Dr,Princeton,,WV,24740-9072
Rivers Edge Ministries;74 DuPont Rd,Martinsburg,,WV,25404
New Life Community Church;4102 Tabler Station Rd,Inwood,,WV,25428
Canaan Baptist Church;ADOLPH ROAD,MILL CREEK,,WV,26280-0605
Living Stone Baptist Church;PO Box 729,Delbarton,,WV,25670-0729
Knobley Road Baptist Church;KNOBLEY ROAD,SHORT GAP,,WV,26753
Beaver Creek Baptist;KIEFFER ROAD,KIEFFER,,WV,24950
Amazing Grace Baptist Church;1055 CHRISTIAN CHURCH ROAD,CAPON BRIDGE,,WV,26711
Williams Creek Baptist Church;58 Access Rd,Williamstown,,WV,26187-9702
Brooksville Baptist Church;6303 West Little Kanawha Hwy,Big Bend,,WV,26136
Charity;PO Box 145,Wyatt,,WV,26463-0145
Southern Baptist Fellowship;155 Palestine Rd,Elizabeth,,WV,26143
Abundant Life Baptist Church;976 Chapel Hill Rd,Triadelphia,,WV,26059-9631
Fox's Hollow Baptist Church;ROUTE 6,ROMNEY,,WV,26726
First Baptist of Burlington;P.O. Box 246,Burlington,,WV,26710
Shannondale Springs Chapel;3868 Mission Rd,Harpers Ferry,,WV,25425-5006
Riverview Baptist Chapel;225 Charles ST,Wellsburg,,WV,26070-1712
Cameron Baptist Church;62 Squirrel Alley Lane,Cameron,,WV,26033-9521
Hill Road Baptist Church;140 Ferrell Dr,Julian,,WV,25529-9712
Faith Baptist Church;PO Box 96,Pageton,,WV,24871-0096
Faith Baptist Church;57 Preachers Run,West Union,,WV,26456
Calvary Baptist Church;
North Fork Baptist Church;20403 Mountaineer Drive,RIVERTON,,WV,26814-0046
So. Bapt., Philippi;19969 Barbour County Highway,PHILIPPI,,WV,26416
Hebron Baptist Church;General Delivery,Green Bank,,WV,24944-9999
So. Bapt. Fellowship;201 Irish St,Summersville,,WV,26651-1813
Grace Fellowship Southern Baptist Church;34 Shamrock Rd.,Wana,,WV,26590
Cathedral of Prayer Southern Baptist Church;2326 Pennsylvania Ave,Charleston,,WV,25302-4136
First Southern Baptist Church;2924 Grandview Rd,Beaver,,WV,25813-9271
Second Baptist Church;Hollywood Road,Keyser,,WV,26726
Rowlesburg Southern Baptist Church;Buffalo Rd,Rowlesburg,,WV,26425
New Day Baptist Church;PO Box 628,Fort Ashby,,WV,26719-0628
Spring Valley Freedom Baptist Church;1600 Spring Valley Dr,Huntington,,WV,25704-9434
Calvary Southern Baptist Church;743 Morgantown Pike,BELINGTON,,WV,26250
Hamlin Baptist Church;8138 Sycamore Ave,Hamlin,,WV,25523-1431
Covenant Baptist Church, Shepherdstown;7485 Shepherdstown Pike,Shepherdstown,,WV,25443-1674
Hillside Chapel;PO Box 420,Petersburg,,WV,26847-0420
Covenant Baptist Church;PO Box 1001,Romney,,WV,26757-4001
Wharton Missionary Baptist Church;RT. 85,WHARTON,,WV,25208
Open Door Baptist Church;3432 Eldersville Rd,Colliers,,WV,26035-9706
Restoration Fellowship;1185 Mount Nebo Road,Mount Nebo,,WV,26679
Trinity Baptist Church;PO Box 179,Buckeye,,WV,24924-0179
Mineral Wells;RT. 14,MINERAL WELLS,,WV,26150
Jackson Avenue Baptist Church;2816 Jackson Ave,Point Pleasant,,WV,25550-1714
Graydon Baptist Church;3044 O'Possum Creek Road,Victor,,WV,25938
First Baptist Church, Bluewell;189 Pinnacle view road,Bluefield,,WV,24701-9026
First Baptist Church;58 North Old Mill Dr,FORT ASHBY,,WV,26719
First Baptist Church;11116 Blue Gray Trail,Brandywine,,WV,26802
Good Shepherd Baptist Church;162 Tiger Lane,Scott Depot,,WV,25560
Heritage Baptist Church;40 Kayla Lane,Elkview,,WV,25071-9346
Faith, Mason;PO Box 278,Mason,,WV,25260-0278
Lincoln Baptist Church;5265 McClellan Highway,Branchland,,WV,25506
Lorton Lick Baptist Church;Lorton Lick Rd,Bluefield,,WV,24701
Old Fields Baptist Church;5406 Highway 220 N,OLD FIELDS,,WV,26845
Wayside Baptist Church;8846 Upper South Branch Road,Franklin,,WV,26807
First Baptist Church;75 Willis Way,Chester,,WV,26034
Calvary Southern Baptist Church;28 Lantana Rd,Chapmanville,,WV,25508-9784
Shrewsbury Baptist Church;1096 Ferry St,Shrewsbury,,WV,25015-1317
Cumberland Heights Baptist Church;3811 E Cumberland Rd,Bluefield,,WV,24701-5115
Brenton Baptist Church;PO Box 483,Brenton,,WV,24818-0483
Ridgeview Community Bible Church;5730 East Pea Ridge Road,Huntington,,WV,25705-2136
Horsepen Baptist Church;2124 ROUTE 52,Gilbert,,WV,25621-9707
First Baptist Church at Huntersville;5837 Huntersville Rd,Marlinton,,WV,24954-6029
Berkeley Baptist Church;172 Winchester Grade Road,Berkeley Springs,,WV,25411
Memorial Baptist Church;1405 S Kanawha St,Beckley,,WV,25801-6213
Calvary Baptist Church;425 Rockdale Rd,Follansbee,,WV,26037-1941
Fairlawn Baptist Church;215 Fairlawn Drive,Parkersburg,,WV,26101-7491
Westview Baptist Church;301 S Louisiana Ave,Martinsburg,,WV,25401-2085
Second Baptist Church;911 N High St,Martinsburg,,WV,25404
Leetown Southern Baptist Church;11511 Leetown Road,Kearneysville,,WV,25430-9407
Charles Town Baptist Church;203 E. Congress St,Charles Town,,WV,25414
First Baptist Church of Fairlea;S. Jefferson Street,FAIRLEA,,WV,24902
Silver Springs Baptist Church;308 Thornton Ave,Princeton,,WV,24740-2851
Shawnee Baptist Church;3837 Beckley Road,Princeton,,WV,24740
Lilly Grove Baptist Church;1012 Oakwood Ave,Princeton,,WV,24740-8846
Fellowship Baptist Church;400 City View Hts,Princeton,,WV,24740-2425
Edgemont Baptist Church;2507 Jefferson Dr,Bluefield,,WV,24701-4892
Ceres Baptist Church;RR 2 Box 187,Bluefield,,WV,24701-9629
Calvary Meadow Bridge;PO Box 159,Meadow Bridge,,WV,25976-0159
Burke Memorial Baptist Church;100 Oliver Avenue,Princeton,,WV,24740
Brushfork Baptist Church;2510 Old Bramwell Rd.,Bluefield,,WV,24701
Willowbrook Baptist Church;118 Willowbrook Rd,Princeton,,WV,24740-8910
First Baptist Church;1116 Mercer St,Princeton,,WV,24740-3030
College Avenue;1908 Jefferson St,Bluefield,,WV,24701-4704
Temple Baptist Church, Inc.;2300 2nd Streeet,Moundsville,,WV,26041-1512
Evangel;PO Box 708,Bridgeport,,WV,26330-0708
Calvary Baptist Church;519 Burroughs St,Morgantown,,WV,26505-3330
West Ripley Baptist Church;611 Main St. W.,Ripley,,WV,25271
North Charleston Baptist Church;1009 Woodward Dr,Charleston,,WV,25387-1217
Malden Baptist Church;200 Wise Dr,Charleston,,WV,25306-6432
Fairlawn Baptist Church, SBC & Family Life Center;501 20th St at Fletcher Ave,Dunbar,,WV,25064-1703
Altizer Baptist Church;4201 Altizer Ave,Huntington,,WV,25705-1823
Graceland Baptist Church;RR 2 Box 345,Ridgeley,,WV,26753-9628
Isaban Baptist Church;3166 Four Pole Creek Road,Isaban,,WV,24846-9602
Redemption Church;PO Box 301,Monroe,,WI,53566-0301
Reborn in Christ Hmong Baptist Church;4643 County Road Tt,Sun Prairie,,WI,53590-9771
Hope in Christ Assembly;Genesis Enterprises 313 W Beltline Hwy,Madison,,WI,53713
South Campus of Highland Crest Baptist Church;1830 S Military Avenue,Green Bay,,WI,54304
Casa de Oracion Janesville;1128 S Main St,Ft Atkinson,,WI,53518
City on a Hill;2924 Fish Hatchery Rd,Fitchburg,,WI,53713-3123
Eagle Wings Fellowship;27570 Kabasa Road,Ashland,,WI,54806
East Williamson Baptist Church;414 Peter St,Williamson,,WV,25661-3829
Chattaroy Missionary Baptist Church;1401 Buffalo Creek Road State Route 14,CHATTAROY,,WV,25667
Borderland Baptist Church;46 DESKINS DRIVE,Williamson,,WV,25661-9750
Rock of Hope Church;PO BOX 697,WIsconsin Dells,,WI,53965
Hmong Baptist Mission;[email protected],Little Chute,,WI,54140
Faith Community Baptist Church;5820 Danville Dr,Fitchburg,,WI,53719-2603
Now Faith Missionary Baptist Church;5422 W Center St,Milwaukee,,WI,53216
Greater Philippians Missionary Baptist Church;2526 N 19th St,Milwaukee,,WI,53206
Revive Church;N2968 Horace Mann Road,Oostburg,,WI,53070
Bait N Tackle Fellowship;7016 Snipe Rd,Lake Tomahawk,,WI,54539
Hope in Christ Assembly;Genesis Enterprises Center, Lower Level 313 W. Beltline Hwy Box 1,Madison,,WI,53713
United Hmong Baptist Church;3075 Prospect Dr,Sun Prairie,,WI,53590
Waterbrook Community Bible Church;2273 County Highway O,Warrens,,WI,54666
Red Village Church;PO Box 7491,Madison,,WI,53707
Church at Wazeecha;8016 County Highway FF,Wisconsin Rapids,,WI,54494
Fellowship Community Church;9536 Cty Hwy S South,Chippewa Falls,,WI,54729
Grace Point Community Mission;5156 N 77th Street,Milwaukee,,WI,53218
Living Hope Baptist Church;PO Box 534,Grantsburg,,WI,54840
Campus Community Church;816 Oakland Ave,Madison,,WI,53711-2004
Fox Valley Hmong Baptist Church;1302 E WISCONSIN AVE,APPLETON,,WI,54911-3970
Pleasant Hill Missionary Baptist Church;3934 W Fond Du Lac Ave,Milwaukee,,WI,53216-3643
Rolling Hills Church;1555 W Main St,Platteville,,WI,53818
Lamb of God Missionary Baptist Church;8401-15 W Bradley Rd,Milwaukee,,WI,53224
Living Vine Community Church;402 N Commercial St,Neenah,,WI,54956-2621
Madison Hmong Baptist Church;821 S Midvale Blvd,Madison,,WI,53711-2830
Westosha;35300 Bassett Rd,Bassett,,WI,53101
Korean Baptist Church of Milwaukee;11840 W Layton Ave,Milwaukee,,WI,53228-3022
Ephesians Missionary Baptist Church;2412 N 6TH ST,MILWAUKEE,,WI,53212-2756
Mt Horeb;534 W. Center Street,Milwaukee,,WI,53212-2316
Jericho;8086 N. 76th Street,Milwaukee,,WI,53224
Trinity Baptist Church;200 S.Golf Course Rd,Reedsburg,,WI,53959-9596
Pleasant Prairie;12323 Green Bay Rd,Pleasant Prairie,,WI,53158-3619
Crossroads Church of Pewaukee;N27W26541 Prospect Ave,Pewaukee,,WI,53072-4544
Redemption Church;2110 104th St S,Tacoma,,WA,98444-6742
Abide Church;1116 N 20th Ave,Pasco,,WA,99301-4069
First Nations;18532 52nd Ave W Apt E1,Lynnwood,,WA,98037-4587
Fellowship Baptist Church;1700 89th St,Kenosha,,WI,53143-6851
One in Christ;3439 Hester St,Eau Claire,,WI,54701-7590
Bethany Baptist Church;W12902 HWY 29,TILLEDA,,WI,54978
Parkside;2620 14th Pl,Kenosha,,WI,53140-4320
Immanuel Baptist Church;1400 Warwick Way,Racine,,WI,53406-4325
Midvale Baptist Church;821 S Midvale Blvd,Madison,,WI,53711-2830
East Madison Baptist Church;4917 Milwaukee St,Madison,,WI,53714-2140
The Open Heart Emmanuel;16039 132nd Pl SE,Renton,,WA,98058-7885
Living Stone Church;7219 S 128th St,Seattle,,WA,98178-4345
Healing Lamplight Pathway;Po Box 5655,Lynnwood,,WA,98046-5655
First Love Church of Seattle;18615 SE 272nd St,Kent,,WA,98042-5484
Resonate Pocatello;PO Box 1605,Pullman,,WA,99163-1561
Resonate Missoula;PO Box 1605,Pullman,,WA,99163-1561
Cross Pointe Baptist Church West;2908 S St,Vancouver,,WA,98663
C4 Darrington Outpost;42109 State Rte 530 NE Darrington Rodeo Grounds,Darrington,,WA,98241
The Hallows Church: North Seattle;19303 Fremont Ave N,SEATTLE,,WA,98133-3800
Iglesia Bautista el Calvario;324 Avon Ave,BURLINGTON,,WA,98233-1112
The Hallows Church: West Seattle;3420 SW Cloverdale St,SEATTLE,,WA,98126
Lynnwood Japanese Church Oak Harbor;C/O Oak Harbor Southern Baptist Church 50 SW 6th Ave,Oak Harbor,,WA,98277
Living Spring Fellowship, Edmonds;8713 220th St SW,EDMONDS,,WA,98026
Resonate Pullman Schweitzer;915 SE High St,Pullman,,WA,99163
Resonate Cheney;526 Fifth St,Cheney,,WA,99004
Resonate Moscow;915 SE High St,Pullman,,WA,99163
Resonate Ellensburg;400 East University Way,Ellensburg,,WA,98926
Resonate Pullman WSU;915 SE High St,Pullman,,WA,99163
Valley Christian Fellowship Delaware;2911 Pacific Way,Longview,,WA,98632
Valley Christian Fellowship The Heights;3136 Columbia Heights Road,LONGVIEW,,WA,98632
Resonate Bozeman;PO Box 1605,Pullman,,WA,99163-1561
Resonate Bellingham;PO Box 1605,Pullman,,WA,99163-1561
Tabernaculo Biblico Bautista 'La Vid Verdadera';415 Cherry St,SUMAS,,WA,98295
Tabernaculo Biblico Bautista 'La Vid Verdadera';1700 N 40th Pl #14,MT VERNON,,WA,98273-8627
A Church Family Network;3222 NW 108th St,VANCOUVER,,WA,98685-4777
Family of God Christian Fellowship;5722 S Gove St,TACOMA,,WA,98409-1701
Bread of Life International Fellowship;1209 Central Ave S Ste 200,KENT,,WA,98032-7432
A Church Family Network;3222 NW 108th St,Vancouver,,WA,98685-4777
The Mountain Church;20401 10th Ave S,Des Moines,,WA,98198
Gracepoint Seattle;PO Box 45838,SEATTLE,,WA,98145-0838
Mision Hispana Bautista De Seatac;2605 S 144th St,SEATAC,,WA,98168
Saesoon Baptist Church;21428 44th Ave W,MOUNTLAKE TERRACE,,WA,98043-3509
The Rock Church Spokane;315 N Argonne Rd,SPOKANE VALLEY,,WA,99212
Desayuno Espiritual;17431 Ambaum Blvd S Unit D19,Burien,,WA,98148-1736
The River Church;255 W Seattle Ave,MOXEE,,WA,98936
Light Church of Federal Way DBA Cross Life Community Church;3225 S 288th Street,AUBURN,,WA,98001-1043
Reconciled Christian Fellowship;400 Main Ave,Morton,,WA,98356
Restoration Church Camano;788 Smith Rd,Camano Island,,WA,98282-8815
Reliance Fellowship;4201 Kennedy Rd Ste 5,WEST RICHLAND,,WA,99353-7344
Ignite Church On Fire;PO Box 622,YELM,,WA,98597-0622
Parkland House Ministries;17118 5th Avenue Ct E,Spanaway,,WA,98387-7851
Maranata Baptist Church;3611 NE 132nd Ave,Vancouver,,WA,98682-7647
Seattle Bridge Church;19527 104th Ave NE,Bothell,,WA,98011-2401
EagleWing Fellowship;5218 S 2nd St,Everett,,WA,98203
Redeeming Grace Baptist Church;22 Hwy 28 West,Soap Lake,,WA,98851
Vietnamese Lifeway SBC;8421 Meadow Rd. SW. Trinity Baptist Church,Lakewood,,WA,98499
Bridge of Grace Church;
Romanian Baptist Church of Vancouver, Washington;4613 NE Work Ave,VANCOUVER,,WA,98663-2159
As 1 Community Church;Trinity Baptist Lakewood 8421 Meadow Rd SW,LAKEWOOD,,WA,98499-2554
Filipino Christian Fellowship DBA Oak Harbor Christian Fellowship;1780 SE 4TH AVE,OAK HARBOR,,WA,98277-5011
Revival Baptist Church;411 SE Chkalov Dr,Vancouver,,WA,98683-5229
New Hope Missionary Baptist Church;630 S Waldemar Ave,Pasco,,WA,99301-4447
Good News Romanian Baptist Church;17371 NE 24TH ST,REDMOND,,WA,98052-6230
Chin-Burmese Believers Church;225 State Ave N,Kent,,WA,98030-4543
Morningstar Missionary Baptist Church;631 S Douglas Ave,Pasco,,WA,99301
Evangelical Baptist Church of Kent;1600 Central Ave S Ste 101,Kent,,WA,98032-7459
Kent International Christian Fellowship;26025 111th Ave SE,Kent,,WA,98031
Victory Baptist Church of Rice, Washington;2530 Highway 25 S,Rice,,WA,99167-9708
New Hope Baptist Church;9021 E. Boone,Spokane Valley,,WA,99212
First Baptist Church of Warden, Washington;1017 S Grant,WARDEN,,WA,98857-9001
Song of Hope;PO Box 3340,Vancouver,,WA,98668-3340
Resonate Bellingham;PO Box 1605,Pullman,,WA,99163-1561
Tabernaculo Biblico Bautista 'La Vid Verdadera';415 Cherry St,SUMAS,,WA,98295
Tabernaculo Biblico Bautista 'La Vid Verdadera';1700 N 40th Pl #14,MT VERNON,,WA,98273-8627
A Church Family Network;3222 NW 108th St,VANCOUVER,,WA,98685-4777
Family of God Christian Fellowship;5722 S Gove St,TACOMA,,WA,98409-1701
Bread of Life International Fellowship;1209 Central Ave S Ste 200,KENT,,WA,98032-7432
A Church Family Network;3222 NW 108th St,Vancouver,,WA,98685-4777
The Mountain Church;20401 10th Ave S,Des Moines,,WA,98198
Gracepoint Seattle;PO Box 45838,SEATTLE,,WA,98145-0838
Mision Hispana Bautista De Seatac;2605 S 144th St,SEATAC,,WA,98168
Saesoon Baptist Church;21428 44th Ave W,MOUNTLAKE TERRACE,,WA,98043-3509
The Rock Church Spokane;315 N Argonne Rd,SPOKANE VALLEY,,WA,99212
Desayuno Espiritual;17431 Ambaum Blvd S Unit D19,Burien,,WA,98148-1736
The River Church;255 W Seattle Ave,MOXEE,,WA,98936
Light Church of Federal Way DBA Cross Life Community Church;3225 S 288th Street,AUBURN,,WA,98001-1043
Reconciled Christian Fellowship;400 Main Ave,Morton,,WA,98356
Restoration Church Camano;788 Smith Rd,Camano Island,,WA,98282-8815
Reliance Fellowship;4201 Kennedy Rd Ste 5,WEST RICHLAND,,WA,99353-7344
Ignite Church On Fire;PO Box 622,YELM,,WA,98597-0622
Parkland House Ministries;17118 5th Avenue Ct E,Spanaway,,WA,98387-7851
Maranata Baptist Church;3611 NE 132nd Ave,Vancouver,,WA,98682-7647
Seattle Bridge Church;19527 104th Ave NE,Bothell,,WA,98011-2401
EagleWing Fellowship;5218 S 2nd St,Everett,,WA,98203
Redeeming Grace Baptist Church;22 Hwy 28 West,Soap Lake,,WA,98851
Vietnamese Lifeway SBC;8421 Meadow Rd. SW. Trinity Baptist Church,Lakewood,,WA,98499
Bridge of Grace Church;
Romanian Baptist Church of Vancouver, Washington;4613 NE Work Ave,VANCOUVER,,WA,98663-2159
As 1 Community Church;Trinity Baptist Lakewood 8421 Meadow Rd SW,LAKEWOOD,,WA,98499-2554
Filipino Christian Fellowship DBA Oak Harbor Christian Fellowship;1780 SE 4TH AVE,OAK HARBOR,,WA,98277-5011
Revival Baptist Church;411 SE Chkalov Dr,Vancouver,,WA,98683-5229
New Hope Missionary Baptist Church;630 S Waldemar Ave,Pasco,,WA,99301-4447
Good News Romanian Baptist Church;17371 NE 24TH ST,REDMOND,,WA,98052-6230
Chin-Burmese Believers Church;225 State Ave N,Kent,,WA,98030-4543
Morningstar Missionary Baptist Church;631 S Douglas Ave,Pasco,,WA,99301
Evangelical Baptist Church of Kent;1600 Central Ave S Ste 101,Kent,,WA,98032-7459
Kent International Christian Fellowship;26025 111th Ave SE,Kent,,WA,98031
Victory Baptist Church of Rice, Washington;2530 Highway 25 S,Rice,,WA,99167-9708
New Hope Baptist Church;9021 E. Boone,Spokane Valley,,WA,99212
First Baptist Church of Warden, Washington;1017 S Grant,WARDEN,,WA,98857-9001
Song of Hope;PO Box 3340,Vancouver,,WA,98668-3340
East Kelso Baptist Church;110 Corduroy Rd,Kelso,,WA,98626-5302
Grace And Truth Community;1301 Bombing Range Rd,West Richland,,WA,99353
Hope Fellowship;21115 SE 272nd St,MAPLE VALLEY,,WA,98038-3158
SonRise Church;2620 22nd St,Clarkston,,WA,99403-1533
Clear Creek Baptist Church;12035 CLEAR CREEK RD NW,SILVERDALE,,WA,98383-9691
New Hope Baptist Church of Tacoma;5710 97th Ave Ct West,TACOMA,,WA,98467-1135
Elhi Hill Baptist Church DBA Church On The Hill;900 11th St SE,PUYALLUP,,WA,98372-5734
Evergreen Baptist Church of Cashmere;5837 Evergreen Dr,Cashmere,,WA,98815-9545
Finley First Baptist Church;222909 E Game Farm Rd,Kennewick,,WA,99337-9166
Silver Lake Baptist Church;12918 35th Ave SE,Everett,,WA,98208-5619
The First Baptist Church of Yelm;602 103RD AVE SE,YELM,,WA,98597-5090
Queensgate Baptist Church;15000 119th Ave NE,Kirkland,,WA,98034-4612
Lake Country Baptist Church;8830 8th St SE,Lake Stevens,,WA,98258-3704
First Baptist Church of Toledo;1278 STATE HWY 505,TOLEDO,,WA,98591
Quinault Baptist Church;5400 W Canal Dr,Kennewick,,WA,99336-1319
Terrace Heights Baptist Church of Yakima;619 S 41st St,Yakima,,WA,98901-9529
First Baptist Church;151 W Wapato Rd,WAPATO,,WA,98951-8504
