name;addr;attend;denom
Oriental Mission Church;Los Angeles, CA;3800;CHRISTIAN
Menlo Park Presbyterian Church;Menlo Park, CA;3737;ECO
Parkcrest Christian Church;Long Beach, CA;2500;NONDENOM
Torrance First Presbyterian Church;Torrance, CA;2800;PRES
The Crossing;Costa Mesa, CA;2000;NONDENOM
Lifeway Church Ministries;Rancho Cucamonga, CA;2000;UNK
Twin Cities Community Church;Grass Valley, CA;2100;SBC
Hillside Community Church;Alta Loma, CA;2000;ABC
Bethel Church;Irvine, CA;4300;SBC
Warehouse Ministry;Sacramento, CA;4000;NONDENOM
Cornerstone Fellowship;Livermore, CA;5000;NONDENOM
Calvary Chapel Montebello;Montebello, CA;2500;CAL
Inland Hills Church;Chino, CA;3001;AG
Flood Church;San Diego, CA;2200;UNK
New Hope Missionary Baptist Church;San Bernardino, CA;3400;BGC
Grace Baptist Church;Santa Clarita, CA;2300;BGC
Ministerios Llamada Final;Downey, CA;3500;NONDENOM
Desert Vineyard Christian Fellowship;Lancaster, CA;5000;VINE
Peoples Church;Fresno, CA;4500;NONDENOM
Faith Community Church;West Covina, CA;10000;UNK
Bayview Baptist Church;San Diego, CA;1800;BAPT
Santa Cruz Bible Church;Santa Cruz, CA;2000;NONDENOM
Rolling Hills Covenant Church;Rolling Hills Estates, CA;3000;EC
Calvary Chapel of Oceanside;Oceanside, CA;2500;CAL
Grace Brethren Church;Long Beach, CA;2000;BRETHREN
Capital Christian Center;Sacramento, CA;4150;AG
First Covenant Church;Sacramento, CA;2000;UNK
Campus Hill Church;Loma Linda, CA;2000;SDA
Calvary Temple;Concord, CA;2150;AG
Big Valley Grace Community Church;Modesto, CA;3800;NONDENOM
Journey of Faith;Manhattan Beach, CA;2000;CBA
First Baptist Church of Elk Grove;Elk Grove, CA;3300;ABC
Skyline Wesleyan Church;La Mesa, CA;2500;WES
First Chinese Baptist Church;Los Angeles, CA;2200;BAPT
La Iglesia en el Camino;Van Nuys, CA;5000;4SQ
Calvary Chapel Rancho Santa Margarita;Rancho Santa Margarita, CA;2000;CAL
Saint Andrew's Presbyterian Church;Newport Beach, CA;1833;PCUSA
Christian Assembly Foursquare Church;Eagle Rock, CA;2600;4SQ
Pomona First Baptist Church;Pomona, CA;4000;ABC
North Valley Baptist Church;Santa Clara, CA;3000;NONDENOM
Christian Worship Center;Manteca, CA;2000;AG
Shepherd of the Hills Church;Porter Ranch, CA;8675;CHRISTIAN
Revival Center Modesto;Modesto, CA;3000;NONDENOM
EastLake Church;Chula Vista, CA;6280;NONDENOM
North Coast Calvary Chapel;Carlsbad, CA;6000;CAL
Horizon Christian Fellowship North County;Rancho Santa Fe, CA;4000;NONDENOM
Calvary Chapel La Habra;La Habra, CA;2100;CAL
Bay Area Christian Church;Palo Alto, CA;3500;NONDENOM
Grace Korean Church;Fullerton, CA;4000;UNK
Cornerstone Community Church;Simi Valley, CA;5000;NONDENOM
Bethel Church;Redding, CA;3500;UNK
The Grove Community Church;Riverside, CA;4500;NONDENOM
Trinity Evangelical Free Church;Redlands, CA;2800;EF
Cathedral of Faith;San Jose, CA;7800;NONDENOM
Cross Word Christian Church;Riverside, CA;2000;NONDENOM
Loma Linda University Church;Loma Linda, CA;3800;SDA
Calvary Chapel;Downey, CA;9000;CAL
Iglesia Cristiana Rios De Agua Viva;Pomona, CA;2500;PENT
West Angeles Church of God in Christ;Los Angeles, CA;13000;COGIC
Acts Full Gospel Church of God In Christ;Oakland, CA;6000;COGIC
Bonita Valley Community Church;Bonita, CA;2100;AG
Immanuel Baptist Church;Highland, CA;3000;BAPT
New Venture Christian Fellowship;Oceanside, CA;2001;UNK
Arcade Baptist Church;Sacramento, CA;2000;CBA
Calvary Chapel of Costa Mesa;Santa Ana, CA;9500;CAL
Mission Eben Ezer Family Church;Carson, CA;2750;AG
Crossroads Community Church;Vallejo, CA;2100;4SQ
The Church on the Way;Van Nuys, CA;9032;4SQ
New Birth Church;Pittsburg, CA;2000;UNK
Valley Bible Fellowship;Bakersfield, CA;10300;UNK
Coast Hills Community Church;Aliso Viejo, CA;4000;NONDENOM
Visalia First Assembly of God;Visalia, CA;3247;AG
Neighborhood Church of Redding;Redding, CA;2500;CMA
Crossroads Christian Church;Corona, CA;8375;CHRISTIAN
Victorville First Assembly;Victorville, CA;1907;AG
Knott Avenue Christian Church;Anaheim, CA;2208;CHRISTIAN
Faithful Central Bible Church;Inglewood, CA;8000;UNK
Cornerstone Church;Fresno, CA;3000;AG
Bethel Church of San Jose;San Jose, CA;2200;AG
Lancaster Baptist Church;Lancaster, CA;6000;BAPT
Sonrise Community Baptist Church;Santee, CA;2800;BAPT
Iglesia De Restauracion Inc.;Los Angeles, CA;4000;EVAN
Covina Assembly of God;Covina, CA;2000;AG
High Desert Church;Victorville, CA;6313;NONDENOM
New Life Church;Alamo, CA;2150;AG
Calvary Chapel Golden Springs;Diamond Bar, CA;12000;CAL
Southwest Community Church;Indian Wells, CA;4500;EF
Shoreline Community Church;Monterey, CA;3500;NONDENOM
First Church of the Nazarene;Pasadena, CA;2184;NAZ
Calvary Church of Santa Ana;Santa Ana, CA;3100;NONDENOM
Iglesia Ni Cristo;Los Angeles, CA;2000;COC
New Life Community Church;Pismo Beach, CA;2367;NAZ
Foothills Christian Fellowship;El Cajon, CA;2500;NONDENOM
Lakeside Church;Folsom, CA;3000;UNK
Cottonwood Christian Center;Los Alamitos, CA;7000;NONDENOM
Water of Life Community Church;Fontana, CA;6371;NONDENOM
Twin Lakes Baptist Church;Aptos, CA;3500;SBC
Real Life Church;Valencia, CA;5105;NONDENOM
Life Church;Irving, CA;2100;NONDENOM
Yorba Linda Friends Church;Yorba Linda, CA;5000;QUAKER
The Well Community Church;Fresno, CA;3800;NONDENOM
Mount Calvary Baptist Church;Fairfield, CA;3800;SBC
First African Methodist Episcopal Church;Los Angeles, CA;10000;AME
Calvary Temple Worship Center;Modesto, CA;11778;AG
Central Christian Church;Lancaster, CA;2200;NONDENOM
New Covenant Community Church;Fresno, CA;1900;BGC
Sunrise Church;Rialto, CA;5000;CBA
Bayside of South Sacramento;Sacramento, CA;2500;EC
Harvest Christian Fellowship;Riverside, CA;12300;NONDENOM
Sandals Church;Riverside, CA;3000;NONDENOM
Northside Christian Church;Clovis, CA;2600;CHRISTIAN
First Evangelical Free Church of Fullerton;Fullerton, CA;4500;EF
South Hills Church;Corona, CA;2500;NONDENOM
Church of the Harvest;Los Angeles, CA;2000;EVAN
The Packinghouse Church;Redlands, CA;3800;NONDENOM
Calvary Christian Center;Sacramento, CA;5500;NONDENOM
CompassChurch;Salinas, CA;2400;ECO
Emmanuel Faith Community Church;Escondido, CA;6500;NONDENOM
Jubilee Christian Center;San Jose, CA;14000;UNK
The Rock Church;San Diego, CA;12864;NONDENOM
The Dream Center / Angelus Temple;Los Angeles, CA;8975;4SQ
Orange Hills Assembly of God;Orange Hills, CA;2000;AG
River of Life Christian Church;Santa Clara, CA;2950;NONDENOM
Calvary Chapel Modesto;Modesto, CA;4000;CAL
Lake Avenue Church;Pasadena, CA;5000;UNK
Horizon Christian Fellowship;San Diego, CA;7000;NONDENOM
The Church at Rocky Peak;Chatsworth, CA;2000;NONDENOM
New Vision Church;Milpitas, CA;2300;SBC
Greater Saint Paul Baptist Church;Oakland, CA;5300;NBC
New Harvest Christian Fellowship;Norwalk, CA;2000;UNK
Valley Baptist Church;Bakersfield, CA;3266;SBC
Calvary Chapel Chino Valley;Chino, CA;8300;CAL
Desert Chapel;Palm Springs, CA;3500;NONDENOM
Adventure Christian Church;Roseville, CA;3659;CHRISTIAN
City of Refuge Church;Gardena, CA;10000;UNK
RockHarbor Church;Costa Mesa, CA;5000;NONDENOM
Calvary Chapel Westgrove;Garden Grove, CA;1800;CAL
Bethany Slavic Missionary Church;Sacramento, CA;5700;NONDENOM
Capo Beach Calvary;Capistrano Beach, CA;2200;NONDENOM
Brookins Community AME Church;Los Angeles, CA;2000;AME
Revival Christian Fellowship;Menifee, CA;6000;NONDENOM
Christ's Church of the Valley;San Dimas, CA;4825;CHRISTIAN
Grace Community Church;Sun Valley, CA;8000;NONDENOM
Shadow Mountain Community Church;El Cajon, CA;7513;SBC
Victory Outreach Church San Diego;San Diego, CA;1800;UNK
Saint John's Lutheran Church;Orange, CA;2000;LUTH
First Christian Church;Huntington Beach, CA;2860;CHRISTIAN
Cornerstone Community Church;Wildomar, CA;3200;NONDENOM
Riverlakes Community Church;Bakersfield, CA;2000;UNK
Northwest Church;Fresno, CA;1800;BGC
Thanksgiving Church;Buena Park, CA;1900;AG
North Coast Church;Vista, CA;8906;EF
The Rock;Anaheim, CA;3000;4SQ
Oasis Church;Valley Village, CA;2000;UNK
Life Church of God In Christ;Riverside, CA;4500;COGIC
Newbreak;San Diego, CA;2171;AG
Destiny Church;Indio, CA;2593;NONDENOM
Little Country Church;Redding, CA;3800;NONDENOM
Atascadero Bible Church;Atascadero, CA;3000;NONDENOM
Calvary Bible Church;Burbank, CA;2600;NONDENOM
Bright Russian Baptist Church;West Sacramento, CA;2500;BAPT
Crossroads Grace Community Church;Manteca, CA;1800;NONDENOM
The Father's House;Vacaville, CA;3000;UNK
New Life Center;Bakersfield, CA;2000;4SQ
Maranatha Chapel;San Diego, CA;6000;NONDENOM
The Bridge;Fresno, CA;2000;EF
Calvary Chapel of Vista;Vista, CA;3000;CAL
Jubilee Fellowship Church;Lone Tree, CO;2500;NONDENOM
Crossroads Church of Denver;Wheat Ridge, CO;4500;UNK
Colorado Community Church Aurora;Aurora, CO;2500;NONDENOM
Foothills Bible Church;Littleton, CO;2000;NONDENOM
Crossroads Church;Loveland, CO;2000;UNK
Northern Hills Christian Church;Brighton, CO;2000;NONDENOM
Canyon View Vineyard Church;Grand Junction, CO;4500;VINE
First Presbyterian Church;Colorado Springs, CO;2495;PCUSA
Potter's House Church of Denver;Denver, CO;7800;NONDENOM
Southeast Christian Church;Parker, CO;3554;CHRISTIAN
Timberline Church;Fort Collins, CO;6022;AG
Mountain Springs Church;Colorado Springs, CO;3500;NONDENOM
Faith Evangelical Free Church;Fort Collins, CO;2000;EF
New Life Church;Colorado Springs, CO;12000;UNK
Calvary Worship Center;Colorado Springs, CO;2000;NONDENOM
Greenwood Community Church;Greenwood Village, CO;2200;EPC
LifeBridge Christian Church;Longmont, CO;3121;CHRISTIAN
Church For All Nations;Colorado Springs, CO;2000;UNK
Christ Community Church;Greeley, CO;2000;EF
Colorado Community Church Englewood;Englewood, CO;4500;NONDENOM
Vineyard Church of the Rockies;Fort Collins, CO;2500;VINE
Resurrection Fellowship;Loveland, CO;2500;NONDENOM
Rocky Mountain Calvary Chapel;Colorado Springs, CO;3500;CAL
Faith Bible Chapel;Arvada, CO;5000;NONDENOM
Mission Hills Church;Littleton, CO;3600;BGC
Cherry Hills Community Church;Highlands Ranch, CO;6250;EPC
Eastern Hills Community Church;Centennial, CO;2000;CRC
Rocky Mountain Christian Church;Niwot, CO;2202;CHRISTIAN
Word of Life Christian Center;Lone Tree, CO;2000;NONDENOM
Flatirons Community Church;Lafayette, CO;15495;EVAN
Woodmen Valley Chapel;Colorado Springs, CO;5500;NONDENOM
Red Rocks Church;Golden, CO;3200;AG
First Cathedral;Bloomfield, CT;3500;BAPT
Valley Community Baptist Church;Avon, CT;2000;BGC
Faith Church;New Milford, CT;2000;NONDENOM
New Beginnings Community Church;Darien, CT;2000;NONDENOM
Black Rock Congregational Church;Fairfield, CT;2000;NONDENOM
Kingdom Life Christian Church;Milford, CT;2500;NONDENOM
Crossroads Community Cathedral;E. Hartford, CT;2000;AG
Walnut Hill Community Church;Bethel, CT;2500;EVAN
Saint Columba's Episcopal Church;Washington, DC;1800;EPIS
Rhema Christian Center Church;Washington, DC;2000;NONDENOM
International Ethiopian Evangelical Church;Washington, DC;1800;AG
Temple of Praise;Washington, DC;4000;NONDENOM
Shiloh Baptist Church;Washington, DC;2000;BAPT
Greater Mt. Calvary Holy Church;Washington, DC;3500;PENT
Bible Way Temple;Washington, DC;3500;UNK
Northstar Church;Panama City, FL;2000;NONDENOM
Sweet Home Missionary Baptist;Miami, FL;2000;MISSBAPT
First Baptist Church;Panama City, FL;2000;SBC
McGregor Baptist Church;Fort Myers, FL;3453;SBC
Church in the Son;Orlando, FL;2200;NONDENOM
Faith Assembly of God;Orlando, FL;4000;AG
Church of Hope;Sarasota, FL;2237;AG
Christ's Church;Jacksonville, FL;4904;CHRISTIAN
Christian Life Center;Fort Lauderdale, FL;3500;AG
Olive Baptist Church;Pensacola, FL;3137;SBC
New Life Christian Fellowship;Jacksonville, FL;2000;NONDENOM
Christ Church United Methodist Church;Fort Lauderdale, FL;1800;UMC
Calvary Chapel of Melbourne;West Melbourne, FL;10000;CAL
Without Walls International Church;Tampa, FL;3000;UNK
Countryside Christian Center;Clearwater, FL;2000;NONDENOM
Summit Church;Orlando, FL;4300;NONDENOM
Campus Church;Pensacola, FL;7000;CHRISTIAN
Grace Fellowship;West Palm Beach, FL;4000;UNK
First Baptist Church;Plant City, FL;3000;SBC
Mount Olive Baptist Church;Fort Lauderdale, FL;3000;BAPT
Ministerio Internacional El Rey Jesus;Miami, FL;5500;NONDENOM
Generations Christian Church;Trinity, FL;2252;CHRISTIAN
Grace Family Church;Lutz, FL;6187;UNK
Family Worship Center;Lakeland, FL;2600;PENT
Calvary Chapel Fort Lauderdale;Fort Lauderdale, FL;18521;CAL
Anastasia Baptist Church;Saint Augustine, FL;1510;SBC
Bethel Missionary Baptist Church;Tallahassee, FL;6000;MISSBAPT
Potential Church;Cooper City, FL;12103;SBC
City of Life Church;Kissimmee, FL;2000;NONDENOM
Christ Fellowship;Palm Beach Gardens, FL;18965;NONDENOM
The Family Church;Gainesville, FL;2000;NONDENOM
The Faith Center Ministries;Sunrise, FL;8000;NONDENOM
Winners Church;West Palm Beach, FL;2000;IPHC
Woodland - The Community Church;Bradenton, FL;2001;UNK
Calvary Chapel of Saint Petersburg;Pinellas Park, FL;3500;CAL
Primeira Igreja Batista Brasileira;Pompano Beach, FL;2000;BAPT
Mount Bethel Baptist Church;Fort Lauderdale, FL;2000;BAPT
New Covenant Baptist Church;Orlando, FL;2200;BAPT
First Baptist Church of Indian Rocks;Largo, FL;2908;SBC
First Baptist Church;Jacksonville, FL;4300;SBC
Christ Life Center;Miami, FL;4000;RCA
Village View Community Church;Summerfield, FL;2500;COG
Christian Heritage Church;Tallahassee, FL;3000;NONDENOM
First Baptist Church;Daytona Beach, FL;1900;SBC
Faith Christian Center;Jacksonville, FL;2200;UNK
Grace Church;Cape Coral, FL;2750;UMC
Miami Vineyard Community Church;Miami, FL;2000;VINE
South Florida Church of Christ;Davie, FL;2000;COC
Spanish River Church;Boca Raton, FL;2000;NONDENOM
New Destiny Christian Center;Apopka, FL;2000;UNK
Trinity Church;Miami, FL;3500;AG
Saint Lukes United Methodist Church;Orlando, FL;1967;UMC
Abundant Living Ministries of Pembroke Pines;Pembroke Pines, FL;2000;IPHC
Community Christian Church;Tamarac, FL;1971;CHRISTIAN
Victory Church;Lakeland, FL;3001;AG
Calvary Christian Center;Ormond Beach, FL;7120;NONDENOM
Alpha and Omega Church;Miami, FL;2100;NONDENOM
Trinity Baptist Church;Jacksonville, FL;1800;BAPT
Summit Church;Estero, FL;1800;UNK
Oasis Church;Pembroke Pines, FL;2200;SBC
Shiloh Metropolitan Baptist Church;Jacksonville, FL;6000;BAPT
The Pentecostals of Cooper City;Cooper City, FL;2000;NONDENOM
LifePoint Community Church;Tampa, FL;2200;SBC
First United Methodist Church;Niceville, FL;2030;UMC
Church of All Nations;Boca Raton, FL;2640;AG
The Church Group Worldwide;Jacksonville, FL;3400;NONDENOM
La Catedral del Pueblo;Miami, FL;2000;NONDENOM
Christ the Rock Community Church;Copper City, FL;2000;NONDENOM
Christ Episcopal Church;Ponte Vedra Beach, FL;2000;EPIS
The Crossing Church;Tampa, FL;5000;UNK
First Baptist Church of Central Florida;Orlando, FL;4000;SBC
Faithworld;Orlando, FL;5000;NONDENOM
Saint Marks Episcopal Church;Jacksonville, FL;2500;EPIS
Van Dyke United Methodist Church;Lutz, FL;2143;UMC
Church by the Glades;Coral Springs, FL;6457;SBC
First Baptist Church;Brandon, FL;2750;SBC
Bay Life Church;Brandon, FL;2500;SBC
Bell Shoals Baptist Church;Brandon, FL;2985;SBC
First Baptist Church of Orlando;Orlando, FL;5587;SBC
Celebration Church;Jacksonville, FL;11096;UNK
Bethel Baptist Institutional Church;Jacksonville, FL;12000;BAPT
Bayside Community Church;Bradenton, FL;2000;UNK
Northland A Church Distributed;Longwood, FL;12000;NONDENOM
Idlewild Baptist Church;Lutz, FL;7000;SBC
Christ Journey Church;Coral Gables, FL;2100;BGC
First Baptist Church of Mandarin;Jacksonville, FL;2000;SBC
Westside Baptist Church;Gainesville, FL;1800;SBC
Antioch Missionary Baptist Church;Miami Gardens, FL;7000;MISSBAPT
New Birth Baptist Church;Miami, FL;9000;BAPT
Victorious Life Church;Wesley Chapel, FL;3000;AG
First Presbyterian Church of Orlando;Orlando, FL;2400;PCUSA
Gulf Breeze United Methodist Church;Gulf Breeze, FL;2324;UMC
Christ Fellowship;Palmetto Bay, FL;8098;SBC
King Jesus International Ministry;Miami, FL;12540;NONDENOM
First Baptist Church of Melbourne;Melbourne, FL;2500;SBC
Tomoka Christian Church;Ormond Beach, FL;2296;CHRISTIAN
East Brent Baptist Church;Pensacola, FL;2500;SBC
Revealing Truth Ministries;Tampa, FL;2500;NONDENOM
Cristo Mi Redentor;West Palm Beach, FL;3000;PENT
Coral Ridge Presbyterian Church;Fort Lauderdale, FL;1900;PCA
Community Christian Church;Ft. Lauderdale, FL;1971;CHRISTIAN
Life Center Church;Eatonville, FL;2500;UNK
First Baptist Church at the Mall;Lakeland, FL;3200;SBC
Meadowbrook Church;Ocala, FL;3001;NONDENOM
Real Life Christian Church;Clermont, FL;3245;CHRISTIAN
First Baptist Church;Naples, FL;3523;SBC
Church at the Springs;Ocala, FL;3000;SBC
Calvary Chapel Kendall;Miami, FL;2200;CAL
First Assembly of God;Fort Myers, FL;7426;AG
First Baptist Church;Fort Lauderdale, FL;2200;SBC
Discovery Church;Orlando, FL;4500;NONDENOM
Iglesia El Calvario Assembly of God;Orlando, FL;5250;AG
Trinity Church International;Lake Worth, FL;4012;AG
Potter's House Christian Fellowship;Jacksonville, FL;3000;UNK
New Dimensions Christian Center;Pensacola, FL;3300;NONDENOM
Beach United Methodist Church;Jacksonville Beach, FL;2069;UMC
First Baptist Church of Oviedo;Oviedo, FL;2461;SBC
Iglesia Cristiana Segadores De Vida;Hollywood, FL;7000;NONDENOM
South Biscayne Baptist Church;North Port, FL;2000;SBC
Calvary Baptist Church;Clearwater, FL;2419;SBC
Peachtree Presbyterian Church;Atlanta, GA;3171;PCUSA
Salem Bible Church;Atlanta, GA;2000;UNK
Perimeter Church;Duluth, GA;3900;PCA
Crossroads Baptist Church;Newnan, GA;2607;SBC
Fairfield Baptist Church;Lithonia, GA;2000;BAPT
Calvary Chapel Stone Mountain;Lilburn, GA;2000;CAL
Johnson Ferry Baptist Church;Marietta, GA;5000;SBC
Overcoming by Faith;Savannah, GA;2000;4SQ
